#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15H15: Hummingbird Springs, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Hummingbird Springs (15H15) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 8945 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:58 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1955,Dec 30,20,3.8,Jan 31,32,8.3,Feb 28,52,12.9,Mar 31,53,16.8,Apr 29,59,21.0,,,
1956,Jan 02,51,14.0,Jan 31,69,21.0,Feb 29,77,26.0,Mar 29,73,30.1,Apr 30,71,29.5,Jun 04,26,13.8
1957,Dec 28,35,9.1,Jan 29,50,13.1,Feb 27,62,17.5,Mar 29,69,22.2,May 03,73,27.6,,,
1958,Jan 06,32,9.3,Jan 31,57,14.5,Feb 28,66,19.0,Mar 28,74,24.0,Apr 29,74,27.9,,,
1959,Dec 30,20,3.9,Jan 29,35,8.2,Feb 26,51,13.8,Mar 28,48,15.8,Apr 27,43,16.2,,,
1960,Dec 30,18,3.9,Jan 27,32,7.0,Feb 25,58,15.0,Mar 29,59,19.6,Apr 27,55,20.7,,,
1961,Dec 29,30,7.8,Feb 01,31,8.5,Mar 01,49,13.4,Mar 27,69,18.6,Apr 27,56,19.4,,,
1962,Dec 29,35,9.0,Jan 29,48,14.0,Mar 01,92,26.1,Mar 26,91,31.6,Apr 30,78,29.8,,,
1963,Dec 31,18,3.5,Jan 28,36,8.1,Feb 25,43,10.4,Mar 27,49,14.8,Apr 29,68,21.7,,,
1964,Dec 30,28,6.0,Jan 29,54,15.8,Feb 27,55,16.4,Mar 28,65,20.7,Apr 29,65,26.1,,,
1965,Jan 04,53,13.1,Feb 01,65,19.6,Feb 25,72,25.1,Mar 29,80,28.9,Apr 29,75,29.3,,,
1966,Jan 10,36,6.3,Jan 26,36,9.5,Feb 24,48,14.2,Mar 28,51,16.7,Apr 28,40,15.2,,,
1967,Jan 01,,8.0,Jan 30,57,17.3,Feb 27,57,19.6,Mar 30,68,22.6,May 01,76,26.8,,,
