#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15H20: Merritt Mountain - Aerial Marker, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Merritt Mountain - Aerial Marker (15H20) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 6915 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:28 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1965,,,,Feb 01,6,1.8,Mar 02,4,1.2,Mar 30,3,0.9,,,,,,
1966,,,,Jan 27,0,0.0,Mar 01,0,0.0,Mar 29,0,0.0,,,,,,
1967,,,,Feb 04,23,5.3,Feb 26,30,7.8,Apr 01,20,6.8,,,,,,
1968,,,,Jan 25,1,0.2,,,,Apr 09,0,0.0,,,,,,
1969,,,,Jan 31,24,7.0,Feb 27,36,11.2,Mar 29,36,14.8,,,,,,
1970,,,,Jan 29,18,5.9,Feb 26,24,7.9,Mar 27,13,4.3,,,,,,
1971,,,,Jan 27,10,2.8,Mar 02,9,2.6,Mar 29,16,5.6,,,,,,
1972,,,,Jan 28,39,11.7,Feb 25,48,14.9,Mar 31,14,5.2,,,,,,
1973,,,,Feb 01,18,4.5,,,,Mar 24,18,5.4,,,,,,
1974,,,,Jan 29,19,4.4,Feb 25,24,7.0,Mar 31,12,4.5,,,,,,
1975,,,,Jan 28,18,5.8,Feb 25,30,9.3,Apr 02,34,10.8,,,,,,
1976,Dec 26,12,3.0,Jan 27,15,4.2,Feb 25,22,6.6,Mar 31,31,9.6,,,,,,
1977,Dec 28,0,0.0,Jan 26,6,0.6,Feb 28,11,2.0,Mar 30,9,2.0,,,,,,
1978,Dec 26,24,4.1,Jan 27,18,4.5,Feb 23,18,5.2,Mar 30,0,0.0,Apr 30,0,0.0,,,
1979,Jan 03,16,3.7,Jan 30,23,5.5,Feb 27,34,8.5,Apr 04,20,6.4,,,,,,
1980,,,,Jan 26,46,14.0,Feb 29,26,7.5,,,,,,,,,
1981,,,,Feb 03,24,5.0,Feb 27,1,0.1,Mar 28,20,4.5,Apr 29,0,0.0,,,
1982,,,,Jan 29,24,6.2,Feb 26,9,3.4,Apr 05,22,6.9,,,,,,
