#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15J17: American Beauty - Aerial Marker, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# American Beauty - Aerial Marker (15J17) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 7545 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:48 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1964,,,,,,,Mar 06,34,8.5,Mar 29,30,10.0,,,,,,
1965,,,,Feb 01,11,3.8,,,,,,,,,,,,
1966,,,,Jan 27,16,4.2,Mar 01,30,7.2,Mar 29,8,2.8,,,,,,
1967,,,,Feb 04,31,8.7,Feb 26,27,8.8,Mar 28,26,9.6,,,,,,
1968,,,,Jan 25,14,3.1,Feb 28,10,3.3,Apr 09,9,3.1,,,,,,
1969,,,,Jan 31,33,9.2,Feb 27,48,15.4,Mar 29,36,13.7,,,,,,
1970,,,,Jan 29,18,6.1,Feb 26,16,5.3,Mar 27,21,6.8,,,,,,
1971,,,,Jan 27,15,4.4,Mar 02,18,5.2,Mar 29,19,6.3,,,,,,
1972,,,,,,,Feb 25,38,12.9,Mar 31,16,5.6,,,,,,
1973,,,,Feb 01,42,11.8,Feb 27,36,10.8,Mar 24,52,17.2,,,,,,
1974,,,,Jan 29,32,9.0,Feb 28,48,14.9,Mar 31,24,9.1,,,,,,
1975,,,,Jan 28,30,9.0,Feb 25,32,9.9,Apr 02,32,10.0,,,,,,
1976,Dec 26,10,2.6,Jan 27,18,5.9,Feb 25,24,7.5,Mar 31,24,7.6,,,,,,
1977,Dec 28,0,0.0,Jan 26,14,2.2,Feb 28,6,1.3,Mar 31,24,7.5,,,,,,
1978,Dec 26,17,4.1,Jan 27,19,4.4,Feb 23,33,10.9,Mar 30,24,9.8,Apr 30,11,4.8,,,
1979,Dec 23,18,1.4,Jan 30,25,6.5,Feb 27,44,12.3,Apr 04,44,15.4,,,,,,
1980,,,,Jan 26,12,2.6,Feb 29,24,6.7,Mar 29,33,9.9,,,,,,
1981,,,,Feb 03,19,4.0,Feb 27,3,1.0,Mar 31,21,5.5,Apr 29,0,0.0,,,
