#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15J22: Tent Mtn., Lower - Aerial Marker, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Tent Mtn., Lower - Aerial Marker (15J22) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 7100 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:34 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1968,,,,Feb 02,21,4.8,Feb 28,28,9.8,Apr 09,36,14.4,,,,,,
1969,,,,Jan 31,26,7.8,,,,Mar 29,64,27.5,,,,,,
1970,,,,,,,Feb 26,48,15.8,Mar 27,48,16.8,,,,,,
1971,,,,Jan 27,34,11.2,Mar 02,42,12.2,Mar 29,52,19.2,,,,,,
1972,,,,Jan 28,72,23.8,Feb 25,72,25.2,Mar 31,48,20.2,,,,,,
1973,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,
1976,,,,Jan 27,27,5.7,Feb 25,19,7.0,Mar 31,24,6.6,,,,,,
1977,Dec 28,0,0.0,Jan 26,5,0.8,Feb 28,1,0.1,Mar 30,,4.0,,,,,,
1978,Dec 26,4,0.7,Jan 27,30,7.3,Feb 23,26,7.5,Mar 30,14,5.3,Apr 30,0,0.0,,,
1979,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,
1982,,,,Jan 29,31,8.7,Feb 26,0,0.0,,,,,,,,,
1983,,,,Jan 26,35,9.8,Feb 26,32,9.6,Apr 01,34,10.9,,,,,,
1984,,,,Jan 26,41,12.3,,,,Apr 03,55,19.3,,,,,,
1985,,,,Jan 30,35,8.8,Feb 28,31,7.0,Mar 30,36,9.4,,,,,,
1986,,,,Jan 31,29,7.8,,,,,,,,,,,,
1987,,,,Jan 29,11,2.1,,,,,,,,,,,,
1988,,,,,,,Feb 22,31,8.4,,,,,,,,,
1989,,,,Jan 30,29,7.5,Feb 28,31,9.3,Mar 30,10,2.6,,,,,,
1990,,,,Feb 05,33,7.3,Feb 26,27,6.2,Mar 30,17,5.4,,,,,,
1991,,,,,,,,,,,,,,,,,,
