#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 16H01: Jack Creek, Lower, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Jack Creek, Lower (16H01) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 7125 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:51 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1921,,,,,,,,,,Mar 28,20,8.4,,,,,,
1922,,,,,,,,,,Mar 22,25,8.1,,,,,,
1923,,,,,,,,,,Mar 23,22,6.5,,,,,,
1924,,,,,,,Mar 14,21,6.2,,,,,,,,,
1925,,,,,,,,,,,,,,,,,,
1926,,,,,,,,,,Mar 18,14,5.2,,,,,,
1927,,,,,,,,,,Mar 19,26,7.6,,,,,,
1928,,,,,,,Mar 14,20,6.1,,,,,,,,,
1929,,,,,,,Mar 04,24,8.8,,,,,,,,,
1930,,,,,,,Mar 05,13,4.8,,,,,,,,,
1931,,,,,,,Mar 06,13,4.2,,,,,,,,,
1932,,,,,,,,,,Mar 21,22,7.4,,,,,,
1933,,,,,,,Mar 02,19,6.2,,,,,,,,,
1934,,,,,,,Mar 01,17,4.3,,,,,,,,,
1935,,,,,,,Feb 28,10,4.0,,,,,,,,,
1936,,,,,,,Feb 26,22,8.2,,,,,,,,,
1937,,,,,,,Feb 27,15,4.5,,,,,,,,,
1938,,,,,,,Feb 28,7,2.4,,,,,,,,,
1939,,,,,,,Mar 01,28,7.9,,,,,,,,,
1940,,,,,,,Feb 29,4,1.3,,,,,,,,,
1941,,,,,,,Mar 02,10,4.2,Mar 28,0,0.0,,,,,,
1942,,,,,,,Feb 27,21,6.7,Apr 03,9,4.3,,,,,,
1943,,,,,,,Mar 03,10,3.3,Apr 01,0,0.0,,,,,,
1944,,,,,,,Mar 12,16,4.8,Apr 04,0,0.0,,,,,,
1945,,,,,,,Mar 02,20,6.6,Apr 05,26,5.1,,,,,,
1946,,,,,,,Mar 02,16,5.2,Apr 04,8,3.1,,,,,,
1947,,,,,,,Mar 02,7,1.2,Mar 26,0,0.0,,,,,,
1948,,,,,,,Mar 02,11,2.8,Apr 03,14,4.7,,,,,,
1949,,,,,,,Mar 01,21,4.9,Mar 31,15,4.5,,,,,,
1950,,,,,,,Feb 28,0,0.0,Apr 05,0,0.0,,,,,,
1951,,,,,,,Mar 01,8,1.0,Mar 30,5,0.5,,,,,,
1952,,,,,,,Mar 05,30,7.9,Apr 01,29,10.3,,,,,,
1953,,,,,,,Feb 26,9,3.4,Mar 30,0,0.0,,,,,,
1954,,,,,,,Feb 25,0,0.0,Mar 25,9,1.4,,,,,,
1955,,,,,,,Feb 28,20,4.2,Mar 29,15,4.0,,,,,,
1956,Jan 04,0,0.0,Feb 03,14,3.2,Mar 01,12,3.3,Mar 28,0,0.0,Apr 27,0,0.0,,,
