#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 16H02: Jack Creek, Upper, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Jack Creek, Upper (16H02) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 7390 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:39 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,Feb 26,46,14.6,,,,,,,,,
1937,,,,,,,Feb 27,26,6.9,,,,,,,,,
1938,,,,,,,Feb 28,16,4.8,,,,,,,,,
1939,,,,,,,Mar 02,46,13.2,,,,,,,,,
1940,,,,,,,Feb 29,25,8.6,,,,,,,,,
1941,,,,,,,Mar 02,29,9.4,Mar 28,22,8.6,,,,,,
1942,,,,,,,Feb 27,37,12.4,Apr 03,26,11.4,,,,,,
1943,,,,,,,Mar 04,33,12.2,Apr 01,25,9.9,,,,,,
1944,,,,,,,Mar 12,31,9.7,Apr 04,20,7.6,,,,,,
1945,,,,,,,Mar 01,34,10.5,Apr 05,45,15.5,,,,,,
1946,,,,,,,Mar 01,31,10.0,Apr 04,33,12.4,,,,,,
1947,,,,,,,Mar 02,23,5.1,Mar 26,12,3.6,,,,,,
1948,,,,,,,Mar 02,34,7.4,Apr 03,37,12.0,,,,,,
1949,,,,,,,Mar 01,40,13.0,Mar 31,42,14.2,,,,,,
1950,,,,,,,Feb 28,19,6.0,Apr 05,28,9.8,,,,,,
1951,,,,,,,Mar 01,36,10.1,Mar 30,32,10.6,,,,,,
1952,,,,,,,,,,Apr 01,55,20.7,,,,,,
1953,,,,,,,Feb 26,31,10.5,Mar 30,30,11.2,,,,,,
1954,,,,,,,Feb 25,17,5.3,Mar 25,25,6.2,,,,,,
1955,,,,,,,Feb 28,34,7.4,Mar 29,30,9.0,,,,,,
1956,Jan 04,13,3.5,Feb 03,26,7.5,Mar 01,28,8.2,Mar 28,16,6.2,Apr 27,0,0.0,,,
1957,Jan 03,13,4.1,Feb 01,25,6.8,Mar 01,28,8.9,Mar 27,42,13.9,Apr 30,28,11.2,,,
1958,,,,Jan 31,45,11.6,Mar 01,48,17.1,Apr 01,48,19.4,May 01,28,13.1,,,
1959,Jan 05,10,2.5,Jan 28,23,4.6,Feb 26,23,6.1,Mar 27,18,6.1,Apr 27,0,0.0,,,
1960,Dec 30,10,1.8,Feb 01,25,5.8,Feb 26,37,9.5,Mar 23,30,11.4,May 02,0,0.0,,,
1961,Dec 29,14,3.0,Jan 30,12,3.0,Mar 01,24,6.5,Mar 29,31,9.3,May 01,0,0.0,,,
1962,Dec 29,20,4.8,Jan 30,27,8.0,Feb 27,33,10.1,Mar 30,40,14.6,Apr 30,0,0.0,,,
1963,Dec 27,0,0.0,Jan 28,0,0.0,Feb 26,8,2.2,Mar 29,14,3.9,Apr 29,18,5.3,,,
1964,Jan 02,17,2.5,Feb 02,12,2.3,Mar 06,42,10.0,Mar 27,32,10.7,May 01,6,1.2,,,
1965,,,,Feb 01,12,3.5,Mar 02,22,6.8,Mar 30,27,9.8,Apr 30,0,0.0,,,
1966,,,,Jan 27,14,2.8,Mar 01,21,5.5,Mar 29,20,7.7,May 03,0,0.0,,,
1967,,,,Feb 04,18,4.9,Feb 26,22,6.6,Mar 30,30,8.2,Apr 28,38,11.6,,,
1968,,,,Jan 25,5,1.1,Feb 28,6,2.2,Mar 26,13,4.3,Apr 30,0,0.0,,,
1969,,,,Jan 31,20,5.6,Feb 27,36,11.2,Mar 26,37,12.4,Apr 24,0,0.0,,,
1970,,,,Jan 29,20,5.2,Feb 26,18,5.9,Mar 27,36,10.5,Apr 28,24,8.7,,,
1971,,,,Jan 27,11,3.3,Mar 02,18,5.2,Mar 26,35,12.1,Apr 30,17,6.6,,,
1972,,,,Jan 28,28,8.4,Feb 25,37,11.1,Mar 28,27,9.7,Apr 26,14,5.3,,,
1973,,,,Feb 01,24,6.2,Feb 27,18,4.7,Mar 28,36,11.7,Apr 26,18,8.0,,,
1974,,,,Jan 29,19,5.7,Feb 25,24,7.4,Mar 27,26,9.2,May 01,3,1.4,,,
1975,,,,Jan 28,24,7.2,Feb 25,31,9.3,Apr 01,46,15.8,Apr 29,51,18.8,,,
1976,Dec 26,12,3.0,Jan 26,21,6.0,Feb 23,33,9.6,Mar 30,38,9.5,Apr 28,12,3.7,,,
1977,Dec 28,0,0.0,Jan 25,8,1.4,Feb 23,12,2.2,Mar 30,26,5.5,Apr 26,0,0.0,,,
1978,,,,Mar 01,,5.6,Feb 27,27,7.9,Mar 27,22,7.6,Apr 24,9,4.2,,,
1979,Jan 03,9,2.0,Jan 25,32,8.5,Feb 27,35,9.9,Mar 26,29,10.7,Apr 25,22,9.0,,,
1980,,,,Jan 28,23,6.1,Feb 26,26,7.2,Mar 26,35,10.9,May 02,0,0.0,,,
1981,,,,Feb 03,16,3.5,Feb 25,13,4.4,Mar 25,11,2.9,Apr 28,0,0.0,,,
1982,,,,Jan 26,39,9.9,Feb 23,31,11.2,Apr 02,43,14.1,Apr 27,16,6.6,,,
1983,Jan 01,24,6.6,Jan 25,33,8.8,Feb 23,36,11.3,Mar 29,44,15.4,May 01,39,15.5,,,
1984,Jan 01,,10.2,Feb 01,34,11.2,Feb 28,70,23.5,Mar 27,67,24.7,May 01,50,19.4,,,
1985,Jan 01,25,5.7,Feb 01,20,5.2,Feb 27,27,7.5,Mar 29,37,9.0,,,,,,
1986,,,,Mar 01,,4.0,Feb 25,35,12.1,Mar 25,23,9.3,Apr 30,33,12.8,,,
1987,Jan 01,,1.9,Jan 28,23,4.2,Feb 25,29,7.1,Mar 30,26,9.2,,,,,,
1988,Jan 05,24,4.2,Jan 25,24,6.0,Feb 24,26,7.1,Mar 28,18,6.3,Sep 01,,2.6,,,
1989,Jan 01,,6.1,Jan 30,31,9.1,Feb 27,30,10.4,Mar 27,32,11.8,Sep 01,,6.6,,,
1990,,,,Jan 29,37,8.6,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,
1993,,,,,,,Feb 26,64,20.0,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,
