#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 17H02: Buckskin, Lower, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Buckskin, Lower (17H02) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 6700 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:11:21 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1932,,,,,,,Mar 04,30,11.2,,,,,,,,,
1933,,,,,,,Mar 03,27,8.3,,,,,,,,,
1934,,,,,,,Mar 04,20,5.9,,,,,,,,,
1935,,,,,,,Mar 06,29,8.7,,,,,,,,,
1936,,,,,,,Mar 05,32,10.3,,,,,,,,,
1937,,,,,,,Mar 02,27,8.5,,,,,,,,,
1938,,,,,,,Mar 03,29,8.5,,,,,,,,,
1939,,,,,,,Mar 03,30,7.2,,,,,,,,,
1940,,,,,,,Mar 01,20,6.6,,,,,,,,,
1941,,,,,,,Mar 02,27,8.5,Mar 27,18,6.3,,,,,,
1942,,,,,,,Mar 02,28,8.0,Apr 02,24,6.9,,,,,,
1943,,,,,,,Feb 28,29,10.4,Mar 31,22,9.2,,,,,,
1944,,,,,,,,,,Mar 26,26,9.0,,,,,,
1945,,,,,,,Mar 10,33,9.3,Mar 25,31,12.0,,,,,,
1946,,,,,,,Mar 04,30,8.1,Apr 08,21,6.6,,,,,,
1947,,,,,,,,,,Apr 01,0,0.0,,,,,,
1948,,,,,,,Feb 27,22,7.8,Apr 02,30,10.2,,,,,,
1949,,,,,,,Mar 02,43,13.0,Apr 03,40,14.2,,,,,,
1950,,,,,,,Mar 02,22,7.8,Apr 03,27,10.1,,,,,,
1951,,,,,,,Feb 26,40,11.3,Mar 28,29,10.8,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,,,,Feb 26,15,5.1,Mar 31,5,2.1,,,,,,
1954,,,,,,,Feb 27,17,5.9,Mar 30,15,4.8,,,,,,
1955,,,,,,,Mar 01,15,5.1,Mar 31,20,6.7,,,,,,
1956,,,,,,,Mar 04,33,11.0,Mar 27,25,8.4,,,,,,
1957,,,,,,,Feb 27,15,5.9,Mar 29,19,8.4,,,,,,
1958,,,,,,,Feb 25,27,9.7,Apr 01,38,14.0,,,,,,
1959,,,,,,,Feb 25,23,6.4,Apr 01,15,5.9,,,,,,
1960,,,,,,,Mar 01,28,8.9,Mar 29,14,6.0,,,,,,
1961,,,,,,,Feb 27,20,6.1,Mar 27,25,8.2,,,,,,
1962,,,,,,,Feb 27,30,9.0,Mar 28,34,11.7,,,,,,
1963,,,,,,,Feb 25,0,0.0,Mar 26,0,0.0,,,,,,
1964,,,,,,,Feb 25,25,6.9,Mar 26,35,10.6,,,,,,
1965,,,,,,,Feb 25,18,7.3,Mar 30,15,5.9,,,,,,
1966,,,,,,,Feb 23,24,6.3,Mar 28,20,6.5,,,,,,
1967,,,,,,,Feb 23,23,7.3,Mar 27,16,5.9,,,,,,
1968,,,,,,,Feb 29,9,3.0,Mar 27,3,1.1,,,,,,
1969,,,,,,,Feb 25,45,13.5,Mar 26,41,16.1,,,,,,
1970,,,,,,,Feb 24,22,8.2,Mar 26,21,7.3,,,,,,
1971,,,,,,,Feb 23,20,7.1,Mar 29,21,8.5,,,,,,
1972,,,,,,,Feb 24,44,11.4,Mar 30,12,3.9,,,,,,
1973,,,,,,,Feb 28,28,7.6,Mar 27,28,8.3,,,,,,
1974,,,,,,,Mar 04,33,9.6,Mar 27,16,4.7,,,,,,
1975,,,,,,,Feb 24,39,11.6,Mar 30,42,16.2,,,,,,
1976,,,,,,,Feb 23,24,6.4,Mar 30,25,8.2,,,,,,
1977,,,,,,,Feb 24,4,0.7,Mar 30,12,2.5,,,,,,
1978,,,,,,,Feb 28,28,8.2,Mar 27,19,8.4,,,,,,
1979,,,,,,,Feb 27,33,8.6,Mar 26,25,7.7,,,,,,
1980,,,,,,,Feb 26,24,7.7,Mar 26,33,9.9,,,,,,
1981,Dec 31,,2.1,Feb 03,9,1.9,Feb 27,8,3.0,Mar 25,8,2.1,Apr 30,0,0.0,,,
1982,,,,Jan 29,26,7.0,Feb 25,19,6.8,Apr 02,44,11.9,Apr 23,12,4.8,,,
1983,Jan 01,31,6.6,Jan 30,28,8.5,Feb 22,39,12.6,Mar 28,51,18.0,May 01,43,17.8,,,
1984,Jan 01,,11.8,Feb 01,37,12.2,Feb 18,45,14.4,Apr 01,68,24.7,May 01,60,22.7,,,
1985,,,,Feb 01,17,5.6,Mar 01,37,11.4,Mar 20,30,9.0,,,,,,
1986,Jan 01,28,6.0,Jan 30,25,7.4,Feb 27,24,9.2,Mar 31,5,1.9,,,,,,
1987,Jan 01,0,0.0,Mar 01,,1.9,Feb 27,25,6.5,Apr 01,18,6.7,,,,,,
1988,Jan 01,,0.0,Mar 01,,3.7,Feb 23,15,4.6,Mar 31,4,1.9,Sep 01,0,0.0,,,
1989,,,,,,,Feb 23,36,11.8,Mar 30,25,9.9,Sep 01,0,0.0,,,
1990,,,,,,,,,,,,,,,,,,
