#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 17K02: Big Creek Mine, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Big Creek Mine (17K02) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 7715 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:29 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1942,,,,,,,Feb 27,20,4.9,Mar 31,21,5.0,,,,,,
1943,,,,,,,Feb 25,5,1.0,Mar 31,0,0.0,,,,,,
1944,,,,,,,Mar 11,5,1.4,Apr 01,2,0.1,,,,,,
1945,,,,,,,Mar 03,16,5.1,Apr 12,32,9.8,,,,,,
1946,,,,,,,Mar 06,11,3.5,Apr 04,25,7.1,,,,,,
1947,,,,,,,Feb 27,13,3.3,Mar 28,0,0.0,,,,,,
1948,,,,,,,Feb 27,10,3.3,Mar 26,19,5.1,,,,,,
1949,,,,,,,Mar 08,30,7.9,Apr 03,24,9.5,,,,,,
1950,,,,,,,Mar 01,2,0.9,Apr 02,0,0.0,,,,,,
1951,,,,,,,Mar 01,7,1.5,Apr 02,5,3.1,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,,,,Mar 09,11,4.7,Apr 01,0,0.0,,,,,,
1954,,,,,,,Mar 03,5,2.3,,,,,,,,,
1955,,,,,,,Mar 04,16,5.1,Apr 01,9,3.5,,,,,,
1956,,,,,,,Mar 02,18,4.8,Mar 30,0,0.0,,,,,,
1957,,,,,,,Feb 28,0,0.0,Apr 02,12,3.4,,,,,,
1958,,,,,,,,,,Apr 07,20,6.5,,,,,,
1959,,,,,,,Feb 25,6,1.2,Mar 31,0,0.0,,,,,,
1960,,,,,,,Mar 01,14,3.6,Apr 01,0,0.0,,,,,,
1961,,,,,,,Mar 01,7,2.2,Mar 31,14,4.5,,,,,,
1962,,,,,,,Feb 27,26,7.7,Apr 02,20,7.7,,,,,,
1963,,,,,,,Mar 01,0,0.0,Apr 01,5,1.0,,,,,,
1964,,,,,,,Feb 27,15,4.0,Mar 27,26,7.8,,,,,,
