#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 17D11: Standley AM, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Standley Am (17D11) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 7360 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:02 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,Jan 23,46,17.5,Feb 28,75,25.5,Mar 31,92,33.1,Apr 25,92,38.6,,,
1962,,,,Jan 24,55,20.9,Feb 26,78,26.5,Mar 28,102,37.7,Apr 26,54,23.2,,,
1963,,,,Jan 26,28,7.6,Feb 25,33,11.6,Mar 26,55,17.6,Apr 30,64,22.4,Jun 07,22,9.9
1964,,,,Jan 26,81,21.9,Feb 24,88,28.2,Mar 28,106,37.1,Apr 27,106,43.5,,,
1965,,,,,,,Feb 24,79,31.0,Mar 29,78,31.0,Apr 29,67,33.5,,,
1966,,,,Jan 31,35,10.5,Mar 01,53,15.9,Apr 02,46,18.0,May 01,35,17.5,,,
1967,,,,Jan 30,80,24.8,Feb 24,82,31.2,Apr 02,96,37.0,May 01,106,42.4,,,
1968,,,,Feb 07,34,11.6,Feb 26,58,20.9,Mar 29,74,26.0,Apr 28,69,30.4,,,
1969,,,,Feb 03,74,22.0,Feb 27,67,24.1,Mar 28,92,36.8,Apr 26,77,36.2,,,
1970,,,,Jan 29,98,29.4,Feb 25,89,32.0,Mar 31,110,40.7,Apr 29,128,47.4,,,
1971,,,,Feb 01,58,20.9,Mar 01,78,25.0,Apr 01,92,38.6,Apr 30,88,39.0,,,
1972,,,,Jan 27,81,27.5,Mar 01,93,35.3,Mar 27,100,47.0,Apr 30,107,49.2,,,
1973,,,,Feb 01,59,16.5,Feb 27,68,22.4,Apr 02,74,28.9,Apr 29,65,27.3,,,
1974,,,,Jan 28,91,32.7,Feb 24,107,42.8,Apr 04,122,51.2,Apr 30,110,50.6,,,
1975,,,,Jan 28,72,21.6,Feb 25,83,29.8,Mar 28,100,41.0,Apr 29,120,44.4,,,
