#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18D05: Meacham, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Meacham (18D05) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 4320 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:24 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1929,,,,Jan 28,46,7.4,,,,Mar 27,21,9.7,,,,,,
1930,,,,Jan 27,18,3.7,,,,Mar 27,5,1.8,,,,,,
1931,,,,Jan 27,26,6.4,,,,Mar 26,16,4.1,,,,,,
1932,,,,Jan 29,40,9.3,,,,Mar 26,35,15.2,,,,,,
1933,,,,Jan 26,24,5.6,,,,Mar 28,38,15.7,,,,,,
1934,,,,Jan 25,2,0.7,,,,Apr 01,0,0.0,,,,,,
1935,Dec 29,16,4.0,Jan 26,20,6.2,,,,Mar 29,16,6.2,,,,,,
1936,,,,Jan 26,40,11.6,Feb 29,50,16.4,Mar 26,42,14.1,,,,,,
1937,,,,Jan 27,37,9.4,,,,Mar 24,34,13.8,,,,,,
1938,,,,Jan 25,8,2.4,Feb 25,20,7.2,Mar 29,27,8.8,,,,,,
1939,,,,Jan 25,18,4.6,Feb 25,48,13.6,Mar 29,26,10.8,,,,,,
1940,,,,Jan 25,12,2.4,Feb 26,28,7.9,Mar 26,5,2.0,,,,,,
1941,,,,Jan 27,14,4.0,Feb 24,16,3.7,Mar 26,0,0.0,,,,,,
1942,,,,Jan 25,14,3.9,Feb 25,30,7.8,Mar 27,23,8.4,,,,,,
1943,,,,Jan 27,40,11.2,Feb 25,31,11.4,Mar 25,36,13.6,,,,,,
1944,,,,Jan 29,17,3.2,Feb 26,35,7.2,Mar 27,26,8.6,,,,,,
1945,,,,Jan 30,20,5.2,Feb 26,27,7.6,Mar 29,29,10.7,,,,,,
1946,,,,Jan 29,44,10.5,Mar 01,42,14.9,Mar 28,33,14.2,,,,,,
1947,,,,Jan 27,15,4.8,Feb 25,10,3.6,Mar 28,3,1.0,,,,,,
1948,,,,Jan 27,19,6.8,Mar 01,31,9.9,Mar 29,39,14.1,,,,,,
1949,,,,Jan 29,44,13.7,Feb 25,62,21.4,Mar 29,39,16.9,,,,,,
1950,,,,Jan 27,41,10.2,Feb 25,35,12.7,Mar 30,34,13.6,May 01,9,3.2,,,
1951,,,,Jan 29,23,6.4,Feb 26,24,7.5,Mar 30,24,8.8,May 01,0,0.0,,,
1952,,,,Jan 29,30,8.0,Feb 28,34,10.5,Mar 31,30,10.4,Apr 29,0,0.0,,,
1953,,,,Jan 30,15,4.6,Feb 27,27,8.4,Mar 31,28,10.2,May 08,0,0.0,,,
1954,,,,Jan 27,31,7.6,Feb 25,16,5.8,Mar 29,14,4.3,Apr 29,0,0.0,,,
1955,Jan 02,25,5.0,Jan 31,31,8.2,Mar 01,57,15.2,Mar 29,53,19.6,Apr 29,44,19.2,,,
1956,Dec 29,14,4.3,Feb 03,32,8.5,Mar 01,50,14.4,Mar 30,36,14.2,Apr 30,0,0.0,May 31,0,0.0
1957,Dec 28,2,0.6,Jan 31,22,4.0,Feb 26,22,7.6,Mar 25,23,8.7,Apr 30,0,0.0,,,
1958,Dec 26,21,5.2,Jan 28,39,11.1,Feb 25,23,8.9,Mar 27,25,10.3,Apr 25,14,3.8,,,
1959,Dec 23,0,0.0,Jan 27,8,2.9,Feb 24,18,5.7,Mar 25,19,6.8,Apr 29,0,0.0,,,
1960,Dec 27,6,2.0,Jan 28,21,5.1,Feb 23,32,9.6,Mar 31,16,5.5,Apr 27,0,0.0,,,
1961,Dec 27,16,2.5,Jan 26,11,3.2,Feb 24,8,2.5,Mar 28,9,2.6,Apr 20,2,0.9,,,
1962,Dec 21,23,4.7,Jan 26,21,6.5,Feb 27,28,7.4,Mar 31,31,10.8,Apr 25,0,0.0,,,
1963,Dec 20,0,0.0,Jan 29,15,2.0,Feb 25,0,0.0,Mar 27,0,0.0,Apr 26,0,0.0,,,
1964,Dec 20,9,1.7,Jan 28,32,9.6,Feb 24,45,12.2,Mar 24,48,17.2,Apr 27,17,6.8,,,
1965,Dec 21,27,5.7,Jan 28,44,12.6,Feb 24,45,14.7,Mar 29,38,14.4,Apr 27,0,0.0,,,
1966,Dec 30,6,2.0,Jan 28,27,6.0,Feb 25,45,12.4,Mar 30,24,9.9,Apr 28,0,0.0,,,
1967,Dec 22,6,1.0,Jan 27,27,7.2,Feb 27,29,9.1,Mar 28,25,8.9,Apr 27,14,5.6,,,
1968,Dec 26,9,2.9,Jan 25,11,2.8,Feb 29,0,0.0,Mar 28,0,0.0,Apr 30,0,0.0,,,
1969,Dec 27,24,5.2,Jan 29,34,9.0,Feb 25,37,12.0,Mar 25,38,13.6,Apr 25,3,0.6,,,
1970,Dec 23,8,1.7,Jan 27,13,3.6,Feb 25,14,5.0,Mar 24,13,4.4,Apr 30,14,5.5,,,
1971,Dec 29,13,2.6,Jan 26,21,5.7,Feb 24,12,3.6,Mar 29,18,6.7,Apr 28,0,0.0,,,
1972,Dec 29,48,12.8,Jan 26,52,16.1,Feb 23,50,18.5,Mar 29,30,12.6,Apr 27,8,3.8,,,
1973,Dec 26,2,0.6,Jan 29,10,2.4,Feb 26,14,3.6,Mar 27,7,2.2,Apr 24,0,0.0,,,
1974,Dec 27,41,9.0,Jan 25,39,13.0,Feb 27,55,19.4,Mar 27,44,18.2,Apr 29,31,14.6,,,
1975,Dec 30,21,4.3,Jan 29,33,9.2,Feb 27,38,13.8,Mar 28,36,13.7,Sep 01,,4.5,,,
1976,Dec 30,11,3.2,Jan 28,31,10.4,Feb 27,39,12.1,Mar 30,48,17.8,Apr 29,15,6.7,,,
1977,Dec 29,0,0.1,Jan 27,8,3.0,Feb 25,9,1.5,Mar 30,32,9.1,Apr 28,0,0.0,,,
1978,Jan 04,14,3.2,Feb 02,18,4.3,Feb 28,15,4.7,Mar 28,0,0.0,Apr 25,0,0.0,,,
1979,Dec 26,17,4.9,Jan 26,28,7.4,Mar 01,45,13.2,Mar 29,18,7.3,Apr 27,8,3.8,,,
1980,Dec 29,5,1.3,Jan 29,13,3.8,Feb 27,6,3.0,Mar 28,18,4.2,May 01,0,0.0,,,
1981,Jan 01,,0.9,Mar 01,,3.1,May 01,,3.6,Jul 01,,3.1,,,,,,
1982,Jan 01,,4.8,Mar 01,,14.2,May 01,,11.1,Jul 01,,9.3,,,,,,
1983,Jan 01,,5.6,Mar 01,,6.2,May 01,,6.4,Jul 01,,3.6,,,,,,
