#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18D12: Battle Mountain Sum (Disc), OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Battle Mountain Sum (disc) (18D12) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 4340 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:39 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1951,,,,Feb 02,18,4.2,Feb 28,17,5.4,Mar 30,18,6.2,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,
1959,,,,Jan 28,1,0.6,Feb 25,7,2.1,Mar 27,2,0.2,,,,,,
1960,Dec 29,3,0.8,Jan 27,13,3.5,Feb 24,13,2.7,Mar 28,2,0.4,Apr 26,2,0.2,,,
1961,Dec 28,0,0.0,Jan 27,0,0.0,Feb 21,0,0.0,Mar 28,0,0.0,,,,,,
1962,Dec 30,11,3.4,Jan 25,12,2.6,Feb 28,12,1.9,Mar 22,14,4.0,Apr 25,0,0.0,,,
1963,Dec 20,0,0.0,Jan 28,5,0.5,Feb 25,0,0.0,Mar 26,0,0.0,Apr 25,4,1.0,,,
1964,Dec 20,4,0.5,Jan 27,10,1.9,Feb 25,11,2.6,Mar 25,16,4.0,Apr 25,5,0.8,,,
1965,Dec 21,10,1.4,Jan 27,16,3.6,Feb 25,9,2.5,Mar 29,9,2.4,Apr 27,0,0.0,,,
1966,Dec 30,5,0.8,Jan 27,10,1.7,Feb 25,11,3.2,Mar 30,1,0.3,Apr 28,0,0.0,,,
1967,Dec 23,1,0.3,Jan 26,12,2.0,Feb 23,7,1.6,Mar 28,2,0.6,Apr 27,0,0.0,,,
1968,Dec 21,10,1.0,Jan 25,4,0.8,Feb 27,0,0.0,Mar 28,0,0.0,Apr 29,0,0.0,,,
1969,Dec 27,10,1.4,Jan 23,14,2.4,Feb 27,19,4.6,Mar 25,14,4.8,Apr 25,0,0.0,,,
