#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18E05: Bourne, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Bourne (18E05) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5800 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:40 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,Dec 28,20,4.6,Jan 28,48,14.1,Feb 26,59,15.2,Mar 28,49,17.5,,,,,,
1937,Dec 30,16,3.4,Jan 30,40,8.0,Feb 26,48,12.5,Mar 29,29,10.0,,,,,,
1938,Dec 31,23,6.0,Jan 30,36,9.8,Feb 27,42,14.0,Mar 30,46,16.8,,,,,,
1939,Dec 30,22,5.7,Jan 30,39,7.5,Feb 27,52,13.8,Mar 30,29,11.3,,,,,,
1940,Dec 30,6,1.8,Jan 31,22,5.2,Feb 29,42,13.0,Mar 31,29,11.6,,,,,,
1941,Dec 30,36,9.9,Jan 23,41,9.9,Feb 27,45,13.1,Mar 26,24,9.6,,,,,,
1942,Jan 03,22,6.9,Jan 31,28,7.6,Feb 27,48,12.5,Mar 30,38,13.8,,,,,,
1943,Dec 28,50,11.8,Feb 01,69,19.4,Feb 28,55,22.8,Mar 28,51,22.2,,,,,,
1944,Jan 04,14,3.8,Feb 01,18,4.4,Feb 29,32,8.6,Mar 29,22,8.2,,,,,,
1945,,,,Feb 01,30,3.8,Feb 27,50,13.3,Apr 01,47,21.7,,,,,,
1946,,,,,,,,,,Mar 30,53,19.9,,,,,,
1947,,,,Jan 28,33,7.4,Mar 02,35,10.9,Mar 28,25,8.5,,,,,,
1948,,,,Jan 29,24,8.8,Feb 28,39,11.6,Mar 31,43,14.1,,,,,,
1949,Dec 31,42,9.8,,,,Feb 27,64,21.0,Mar 30,49,14.6,,,,,,
1950,,,,Mar 02,42,15.9,Mar 31,56,20.0,,,,,,,,,
1951,,,,,,,Mar 01,51,24.9,Apr 02,45,17.8,,,,,,
1952,,,,Feb 07,67,20.3,Mar 03,62,21.1,Mar 28,55,19.8,,,,,,
