#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18E06: Goodrich Lake, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Goodrich Lake (18E06) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 6780 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:58 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1947,,,,,,,Mar 06,75,28.3,Mar 31,75,31.3,,,,,,
1948,Dec 30,37,11.9,Feb 01,61,22.0,Feb 27,90,32.8,Mar 30,93,34.7,May 01,87,38.2,,,
1949,Dec 29,73,22.1,Jan 29,77,25.2,Mar 01,111,42.6,,,,,,,,,
1950,Dec 28,43,14.2,Feb 15,97,35.2,Feb 28,88,36.7,Mar 29,126,48.2,,,,,,
1951,Dec 28,32,10.5,Feb 09,84,25.5,,,,Mar 30,97,42.0,,,,,,
1952,,,,Jan 30,107,38.3,Feb 29,117,46.3,Apr 01,116,51.0,,,,,,
1953,,,,Jan 28,90,29.4,Feb 26,94,36.5,Apr 06,108,48.0,,,,,,
1954,,,,Feb 01,82,27.4,Mar 01,87,34.9,Mar 31,91,38.1,,,,,,
1955,,,,Jan 31,37,10.5,Feb 28,57,17.5,Mar 30,75,26.2,May 02,87,34.9,,,
1956,,,,Jan 31,91,32.8,Mar 01,121,43.6,Apr 02,104,45.7,,,,,,
1957,,,,,,,Mar 01,83,27.4,Mar 25,92,32.9,,,,,,
1958,,,,,,,Feb 19,99,34.0,Mar 20,101,41.8,,,,,,
1959,,,,,,,Feb 24,81,24.0,Mar 25,75,28.7,Apr 22,56,28.2,,,
1960,,,,,,,Feb 24,54,17.6,Mar 28,58,22.6,Apr 26,53,23.5,,,
1961,,,,Mar 01,,16.5,Feb 24,77,30.0,Mar 30,93,39.4,Sep 01,,43.7,,,
1962,,,,Mar 01,,24.2,May 01,,35.7,Mar 30,104,45.0,Sep 01,,50.6,,,
1963,,,,Feb 07,42,14.3,May 01,,14.1,Apr 09,78,26.9,Sep 01,,28.3,,,
1964,Jan 03,35,11.1,Mar 01,,26.1,Feb 25,77,22.3,Mar 27,114,36.5,Sep 01,,40.1,,,
1965,Jan 07,116,38.8,Jan 30,131,39.3,Mar 06,138,49.7,Apr 01,93,40.0,Sep 01,,44.4,,,
1966,Jan 11,66,18.4,Jan 27,68,20.1,Mar 02,77,27.4,Mar 29,80,33.4,Sep 01,,36.3,,,
1967,Dec 30,54,13.4,Mar 01,,24.2,Feb 27,86,34.0,Mar 30,97,38.1,May 02,119,45.2,,,
1968,,,,Feb 10,69,28.6,Feb 28,81,30.3,Mar 29,86,35.9,May 10,56,27.3,,,
1969,,,,Mar 01,,34.1,May 01,,42.1,Apr 01,96,39.5,Sep 01,,43.8,,,
1970,Jan 03,39,12.8,Feb 04,111,33.2,Mar 05,117,45.0,Apr 01,114,45.1,Apr 30,117,51.4,,,
1971,Jan 05,79,24.6,Feb 01,94,39.9,May 01,,37.9,Apr 01,141,67.6,Sep 01,,78.4,Jun 01,64,34.1
1972,Dec 29,77,21.4,Jan 29,128,49.9,Mar 03,149,57.5,Mar 31,114,52.1,Apr 27,110,55.4,,,
1973,,,,Jan 30,62,19.9,Feb 27,65,25.4,Mar 30,74,28.6,Apr 27,59,27.1,,,
1974,Dec 27,102,33.3,Jan 29,121,55.6,Feb 26,136,61.5,Mar 28,128,52.5,May 01,124,66.0,,,
