#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18E08: Gold Center (Rev), OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Gold Center (rev) (18E08) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5340 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:14 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1939,Dec 29,19,4.3,Jan 31,36,7.2,Feb 26,49,12.7,Mar 30,25,9.5,,,,,,
1940,Dec 30,3,1.0,Jan 31,17,4.2,Mar 01,32,10.7,Apr 01,18,6.8,,,,,,
1941,Dec 30,26,6.3,Jan 23,33,8.5,Mar 03,33,10.9,Mar 26,17,6.5,,,,,,
1942,Dec 30,18,4.8,Jan 30,23,5.8,Feb 28,39,10.5,Mar 26,32,11.8,,,,,,
1943,Dec 31,41,9.2,Jan 28,52,14.1,Mar 02,40,15.0,Mar 26,41,14.2,,,,,,
1944,Jan 03,14,3.8,Jan 31,18,4.3,Mar 01,29,8.2,Mar 28,24,8.2,,,,,,
1945,Jan 03,17,3.6,Jan 31,24,5.0,Feb 26,36,11.7,Mar 31,37,13.2,,,,,,
1946,,,,,,,,,,Mar 29,39,14.5,,,,,,
1947,,,,Jan 29,27,6.2,Mar 01,32,9.0,Mar 29,23,7.0,,,,,,
1948,,,,Jan 29,22,8.0,Feb 28,32,11.5,Mar 30,38,13.3,,,,,,
1949,Dec 29,30,7.3,Jan 28,36,10.3,Feb 28,53,16.3,Mar 29,38,13.8,,,,,,
1950,,,,Jan 31,44,11.7,Mar 02,36,13.8,Mar 31,44,17.0,,,,,,
1951,,,,Feb 01,38,11.0,Feb 28,37,14.2,Apr 02,36,14.7,,,,,,
1952,,,,Feb 01,50,14.1,Mar 03,50,17.7,Mar 31,44,17.8,,,,,,
1953,,,,Jan 29,33,11.7,Feb 28,42,13.5,Mar 28,45,16.0,,,,,,
1954,,,,Jan 30,43,11.5,Feb 27,37,12.0,Mar 30,32,12.7,Apr 30,0,0.0,,,
1955,,,,Jan 27,23,5.2,Feb 25,36,9.7,Apr 01,34,10.5,,,,,,
