#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18E11: Dixie Springs (Disc), OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Dixie Springs (disc) (18E11) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 6650 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:40 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,,,,Mar 31,71,25.0,,,,,,
1937,,,,,,,,,,Mar 30,59,22.4,,,,,,
1938,,,,,,,,,,Mar 30,82,28.0,,,,,,
1939,,,,,,,,,,Mar 30,58,24.1,,,,,,
1940,,,,,,,,,,Mar 30,55,18.8,,,,,,
1941,,,,,,,,,,Mar 25,46,17.2,,,,,,
1942,,,,,,,,,,Mar 26,54,18.4,,,,,,
1943,,,,,,,,,,Mar 27,72,29.0,,,,,,
1944,,,,,,,,,,Mar 27,49,15.3,,,,,,
1945,,,,,,,,,,Mar 28,70,20.2,,,,,,
1946,,,,,,,,,,Mar 29,77,31.1,,,,,,
1947,,,,,,,,,,Mar 27,55,21.4,,,,,,
1948,,,,,,,,,,Mar 29,72,24.1,,,,,,
1949,,,,,,,,,,Mar 29,74,26.8,,,,,,
1950,,,,,,,,,,Mar 29,76,27.0,May 02,58,24.7,,,
1951,,,,,,,,,,Mar 28,64,25.1,,,,,,
1952,,,,,,,,,,Apr 01,78,31.8,,,,,,
1953,,,,,,,,,,Mar 30,80,28.3,,,,,,
1954,,,,,,,,,,Mar 31,60,22.8,,,,,,
1955,,,,,,,,,,Mar 30,53,17.2,,,,,,
1956,,,,,,,,,,Mar 29,74,28.9,,,,,,
1957,,,,,,,,,,Mar 22,76,22.0,,,,,,
1958,,,,,,,,,,Mar 27,73,27.7,,,,,,
1959,,,,,,,,,,Mar 27,48,16.1,,,,,,
1960,,,,,,,,,,Mar 29,44,16.0,,,,,,
1961,,,,,,,,,,Mar 29,68,23.3,,,,,,
1962,,,,,,,,,,,,,,,,,,
