#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18E14: Barney Creek (Disc), OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Barney Creek (disc) (18E14) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5950 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:13 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1945,,,,,,,Feb 26,19,4.6,Mar 29,24,7.2,,,,,,
1946,,,,,,,Mar 01,37,10.8,Mar 29,34,11.2,,,,,,
1947,,,,,,,Feb 28,18,6.7,Mar 27,15,5.2,,,,,,
1948,,,,,,,Feb 27,22,6.0,Mar 31,31,8.8,,,,,,
1949,,,,,,,Mar 01,37,10.8,Mar 31,33,10.8,,,,,,
1950,,,,,,,Feb 28,24,8.7,Apr 01,32,11.6,,,,,,
1951,,,,,,,Feb 26,22,5.6,Mar 29,24,7.3,,,,,,
1952,,,,,,,Feb 27,40,12.9,Mar 27,38,13.0,,,,,,
1953,,,,,,,Feb 27,23,7.2,Mar 30,25,8.8,,,,,,
1954,,,,,,,Mar 03,22,7.1,Mar 28,22,6.0,,,,,,
1955,,,,,,,Mar 01,22,4.7,Apr 06,22,6.7,,,,,,
1956,,,,,,,Mar 01,37,10.3,Mar 28,25,8.8,,,,,,
1957,,,,,,,Feb 28,16,5.1,Mar 22,25,7.3,,,,,,
1958,,,,,,,Feb 21,28,9.2,Apr 01,38,10.0,,,,,,
1959,,,,,,,Feb 23,21,5.2,Mar 23,19,5.9,,,,,,
1960,,,,,,,Feb 24,26,6.6,Mar 23,22,7.5,,,,,,
1961,,,,,,,Feb 24,16,4.9,Mar 23,19,6.5,,,,,,
1962,,,,,,,Feb 21,30,8.3,Mar 22,37,11.0,,,,,,
1963,,,,,,,Feb 27,2,0.8,Mar 25,4,1.6,,,,,,
1964,,,,,,,Feb 27,22,6.8,Mar 30,29,8.8,,,,,,
1965,,,,,,,Feb 25,35,13.3,Mar 29,34,12.6,,,,,,
1966,,,,,,,Feb 28,29,7.9,Mar 30,22,7.8,,,,,,
1967,,,,Jan 31,24,7.1,Feb 28,23,7.6,Mar 30,34,8.8,Apr 28,33,10.6,,,
1968,,,,Jan 30,25,6.7,Feb 28,14,4.7,Mar 28,11,4.2,Apr 26,0,0.0,,,
1969,,,,Jan 29,31,8.0,Feb 27,38,11.3,Mar 27,31,10.4,Apr 29,6,2.6,,,
1970,,,,,,,,,,,,,,,,,,
