#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18E19: Crane Prairie (Disc), OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Crane Prairie (disc) (18E19) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5380 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:36 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,Jan 02,7,2.6,Jan 30,14,4.0,Feb 27,23,7.6,Mar 31,31,11.4,,,,,,
1939,,,,Jan 31,25,5.4,Feb 28,39,10.3,Apr 01,12,3.7,,,,,,
1940,,,,Feb 01,12,3.0,Mar 08,23,7.0,Mar 31,3,1.0,May 01,0,0.0,,,
1941,Jan 05,22,5.1,,,,Mar 02,30,8.6,Mar 30,13,5.4,,,,,,
1942,Dec 31,13,4.0,,,,,,,Mar 28,30,8.6,,,,,,
1943,,,,,,,Feb 25,41,15.2,Mar 31,32,12.4,,,,,,
1944,,,,,,,Mar 01,28,6.2,Mar 28,19,5.8,,,,,,
1945,,,,,,,Feb 27,23,6.5,Mar 27,23,7.8,,,,,,
1946,,,,,,,Feb 27,40,12.6,Mar 26,33,11.2,,,,,,
1947,,,,,,,Feb 26,17,5.8,Mar 26,6,2.4,,,,,,
1948,,,,,,,Feb 26,22,6.8,Mar 31,27,10.4,,,,,,
1949,,,,,,,Mar 01,43,13.8,Mar 29,36,13.4,,,,,,
1950,,,,,,,Feb 27,27,8.4,Mar 29,37,12.2,,,,,,
1951,,,,,,,Feb 26,30,8.8,Mar 28,29,11.0,,,,,,
1952,,,,,,,Feb 28,51,15.9,Mar 27,41,16.3,Apr 28,0,0.0,,,
1953,,,,,,,Feb 25,33,12.1,Mar 29,29,12.1,,,,,,
1954,,,,,,,Mar 02,24,7.6,Mar 30,19,6.8,,,,,,
1955,,,,,,,Mar 02,28,7.0,Mar 28,27,9.2,,,,,,
1956,,,,,,,Feb 29,47,13.8,Mar 27,31,11.2,,,,,,
1957,,,,,,,Feb 27,12,4.4,Mar 23,18,6.5,,,,,,
1958,,,,,,,Feb 20,38,12.8,Mar 25,38,13.4,,,,,,
1959,,,,,,,Feb 25,23,6.1,Mar 25,16,6.3,,,,,,
1960,,,,,,,Feb 25,36,9.8,Mar 29,17,6.8,,,,,,
1961,,,,,,,Feb 23,19,6.2,Mar 27,25,7.2,,,,,,
1962,,,,,,,Feb 26,28,7.2,Mar 28,30,9.0,,,,,,
1963,,,,,,,Feb 25,0,0.0,Mar 26,0,0.0,,,,,,
1964,,,,,,,Feb 26,32,8.8,Mar 27,38,12.1,,,,,,
1965,,,,,,,Feb 24,36,12.1,Mar 26,37,14.0,,,,,,
1966,Dec 28,12,2.2,Jan 27,18,4.2,Feb 25,27,7.0,Mar 31,17,5.5,,,,,,
1967,,,,,,,Feb 24,27,7.4,Mar 31,36,9.6,Apr 28,18,6.5,,,
1968,,,,,,,Feb 28,16,6.6,Mar 28,7,2.8,,,,,,
1969,,,,,,,Feb 28,40,11.7,Mar 28,29,10.8,,,,,,
1970,,,,,,,Feb 26,31,11.0,Mar 26,34,12.4,Apr 29,15,6.2,,,
1971,,,,,,,Feb 23,27,9.0,Mar 26,36,12.2,Apr 29,3,1.2,,,
1972,,,,,,,Feb 25,39,12.8,Mar 29,22,8.7,Apr 26,1,0.6,,,
1973,,,,,,,Feb 27,22,6.0,Mar 29,17,6.7,Apr 30,0,0.0,,,
1974,,,,,,,Feb 28,45,13.4,Mar 29,32,11.8,,,,,,
1975,,,,,,,Feb 25,43,13.1,Mar 28,46,15.1,May 01,29,4.8,,,
1976,,,,,,,,,,,,,,,,,,
