#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18E28: Power Plant (Disc), OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Power Plant (disc) (18E28) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 3990 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:29 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1965,,,,Jan 26,35,8.7,Feb 23,27,9.0,Mar 26,20,6.4,Apr 26,0,0.0,,,
1966,Dec 29,7,2.0,Jan 26,15,4.0,Feb 23,22,4.9,Mar 25,15,4.5,Apr 25,0,0.0,,,
1967,Dec 28,11,1.8,Jan 26,17,5.0,Feb 23,16,4.8,Mar 28,7,2.8,Apr 25,0,0.0,,,
1968,Dec 27,13,3.7,Jan 25,18,3.8,Feb 26,15,5.0,Mar 26,0,0.0,Apr 24,0,0.0,,,
1969,Dec 26,18,2.6,Jan 27,24,6.5,Feb 25,30,8.2,Mar 25,20,6.5,Apr 25,0,0.0,,,
1970,Dec 29,16,3.8,Jan 27,19,6.0,Feb 25,14,5.2,Mar 27,8,3.4,Apr 28,0,0.0,,,
1971,Dec 29,23,4.3,Jan 26,24,6.7,Feb 24,20,6.4,Mar 26,21,7.5,Apr 27,0,0.0,,,
1972,Dec 28,22,5.8,Jan 25,27,8.3,Feb 24,28,8.8,Mar 28,0,0.0,Apr 25,0,0.0,,,
1973,Dec 27,4,1.8,Jan 26,12,2.0,Feb 23,13,3.5,Mar 28,0,0.0,Apr 27,0,0.0,,,
1974,Dec 27,22,3.7,Jan 29,18,4.6,Feb 26,22,6.5,Mar 26,11,3.6,Apr 25,0,0.0,,,
1975,Dec 27,20,3.2,Jan 29,22,6.7,Feb 25,31,8.6,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,
