#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18G01: Silvies, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Silvies (18G01) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 6900 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:44 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,,,,Apr 15,34,13.7,,,,,,
1937,,,,,,,,,,,,,May 07,11,5.6,,,
1938,,,,,,,,,,Apr 10,48,18.0,,,,,,
1939,,,,,,,,,,Mar 25,28,11.6,,,,,,
1940,,,,,,,,,,Mar 28,18,6.9,,,,,,
1941,,,,,,,,,,Mar 25,28,11.9,,,,,,
1942,,,,,,,,,,Mar 26,40,13.2,,,,,,
1943,,,,,,,,,,Mar 29,30,10.7,,,,,,
1944,,,,,,,,,,Mar 27,26,8.9,,,,,,
1945,,,,,,,,,,Mar 28,64,18.7,,,,,,
1946,,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,Mar 26,28,9.7,,,,,,
1948,,,,,,,,,,Mar 31,50,15.8,,,,,,
1949,,,,,,,,,,Mar 29,37,12.2,,,,,,
1950,,,,,,,,,,Mar 28,36,13.1,,,,,,
1951,,,,,,,,,,Mar 18,40,14.8,,,,,,
1952,,,,,,,,,,Mar 29,64,25.8,,,,,,
1953,,,,,,,,,,Mar 28,30,10.5,,,,,,
1954,,,,,,,,,,Mar 24,36,12.1,,,,,,
1955,,,,,,,,,,Mar 25,34,10.9,,,,,,
1956,,,,,,,,,,Apr 04,33,14.3,,,,,,
1957,,,,,,,,,,Mar 25,39,14.4,,,,,,
1958,,,,,,,,,,Mar 28,40,16.5,,,,,,
1959,,,,,,,Mar 04,17,6.3,Apr 01,22,6.8,,,,,,
1960,,,,,,,,,,Mar 25,33,13.2,,,,,,
1961,,,,,,,May 01,,10.5,Mar 28,37,13.0,,,,,,
1962,,,,,,,Feb 22,29,10.0,Mar 22,52,17.2,,,,,,
1963,,,,,,,Feb 26,5,2.0,Mar 26,8,3.0,,,,,,
1964,,,,,,,Feb 26,33,11.2,Mar 30,39,15.3,,,,,,
1965,,,,Feb 03,24,10.2,Feb 24,31,12.4,Mar 30,33,14.0,,,,,,
1966,,,,,,,Feb 23,24,7.2,Mar 31,18,7.5,,,,,,
1967,,,,,,,Mar 01,35,12.4,Apr 01,43,16.4,,,,,,
