#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18G11: Oregon Canyon AM, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Oregon Canyon Am (18G11) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 7050 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:57 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1959,,,,Jan 28,6,1.3,Feb 25,14,4.2,Mar 27,12,4.1,,,,,,
1960,,,,Feb 03,19,4.4,Feb 27,27,7.6,Apr 02,12,5.2,,,,,,
1961,,,,Feb 10,8,2.4,Feb 28,14,4.6,Mar 27,20,6.6,,,,,,
1962,,,,Jan 26,14,3.9,Feb 26,22,7.0,Mar 29,32,11.2,,,,,,
1963,,,,Jan 23,0,0.0,Mar 04,3,0.9,Apr 03,1,0.2,,,,,,
1964,,,,Jan 31,20,4.8,Feb 27,20,6.0,Mar 26,15,4.5,,,,,,
1965,,,,Feb 01,6,2.1,Feb 25,8,3.7,Mar 29,3,1.2,,,,,,
1966,,,,Jan 27,6,1.1,Mar 02,13,3.8,Apr 01,0,0.0,,,,,,
1967,,,,Feb 05,28,8.4,Feb 27,27,8.9,Jul 01,,10.6,,,,,,
1968,,,,Feb 05,6,1.2,Feb 27,0,0.0,Mar 29,0,0.0,,,,,,
1969,,,,Feb 04,38,10.6,Feb 27,37,10.7,Mar 24,32,12.2,,,,,,
1970,,,,Jan 29,12,3.4,Feb 25,12,4.4,Mar 27,10,4.0,,,,,,
1971,,,,Jan 27,0,0.0,Mar 06,4,1.2,Mar 30,2,0.6,,,,,,
1972,,,,Feb 02,22,5.9,Mar 07,12,4.2,Mar 29,3,1.1,,,,,,
1973,,,,Jan 27,27,7.0,Feb 23,26,7.5,Apr 03,30,10.5,,,,,,
1974,,,,Feb 06,12,4.0,Mar 08,21,6.3,Mar 26,10,4.4,,,,,,
1975,,,,Jan 22,12,3.8,Feb 22,14,4.5,Mar 29,15,5.2,,,,,,
1976,,,,Jan 26,12,3.4,Feb 23,14,4.2,Mar 29,19,6.1,,,,,,
