#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 19E03: Derr, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Derr (19E03) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5860 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:06 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1937,,,,,,,,,,Mar 31,40,14.7,,,,,,
1938,,,,Jan 28,14,3.2,,,,Mar 27,43,13.4,,,,,,
1939,,,,Jan 30,23,5.0,,,,Mar 28,22,7.5,,,,,,
1940,,,,Jan 26,12,1.9,,,,Apr 01,16,5.2,,,,,,
1941,,,,Jan 30,28,8.4,,,,Mar 31,14,5.7,,,,,,
1942,,,,Jan 29,23,5.1,,,,Mar 29,30,10.9,,,,,,
1943,,,,Jan 29,43,11.5,,,,Mar 29,32,11.3,,,,,,
1944,,,,Jan 31,12,2.6,,,,Mar 30,21,7.4,,,,,,
1945,,,,Jan 29,14,4.2,,,,Mar 30,33,10.4,,,,,,
1946,,,,Feb 01,38,10.5,,,,Mar 28,35,11.9,,,,,,
1947,,,,Jan 31,24,5.4,,,,Mar 31,15,5.3,,,,,,
1948,,,,Jan 28,19,5.9,,,,Mar 31,41,12.4,,,,,,
1949,,,,Feb 01,32,7.8,,,,Mar 29,41,14.7,,,,,,
1950,,,,Jan 31,40,10.5,,,,Mar 30,38,12.7,,,,,,
1951,,,,Jan 29,29,7.3,,,,Mar 29,32,10.9,,,,,,
1952,,,,Jan 31,39,10.9,,,,Mar 31,42,15.1,,,,,,
1953,,,,Jan 31,27,9.3,,,,Mar 31,37,12.8,,,,,,
1954,,,,Feb 01,34,9.7,,,,Mar 29,29,9.2,,,,,,
1955,,,,Jan 31,21,4.7,Feb 28,29,7.4,Mar 31,29,9.1,,,,,,
1956,,,,Jan 30,38,7.8,Mar 01,41,12.0,Mar 28,31,11.3,,,,,,
1957,,,,Jan 31,16,3.6,Feb 28,14,4.8,Mar 26,24,8.1,,,,,,
