#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 19F01: Snow Mountain (Disc), OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Snow Mountain (disc) (19F01) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 6300 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:19 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1944,,,,,,,Feb 28,31,5.6,Mar 31,21,6.1,,,,,,
1945,,,,,,,Feb 25,36,10.0,Mar 27,53,14.6,,,,,,
1946,,,,,,,Feb 27,46,16.2,Mar 28,47,17.7,,,,,,
1947,,,,,,,Feb 22,34,11.1,Mar 25,27,9.7,,,,,,
1948,,,,,,,Feb 24,40,11.1,Mar 28,50,19.0,,,,,,
1949,,,,,,,,,,Apr 05,43,14.4,,,,,,
1950,,,,,,,,,,Apr 02,43,16.1,,,,,,
1951,,,,,,,,,,Mar 30,45,16.2,,,,,,
1952,,,,,,,,,,Mar 27,59,21.5,,,,,,
1953,,,,,,,,,,Mar 27,47,16.2,,,,,,
1954,,,,,,,,,,Mar 23,36,12.3,,,,,,
1955,,,,,,,,,,Mar 26,36,11.6,,,,,,
1956,,,,,,,,,,Apr 03,37,13.8,,,,,,
1957,,,,,,,,,,Mar 26,41,14.5,,,,,,
1958,,,,,,,,,,Mar 26,47,17.1,,,,,,
1959,,,,,,,,,,Mar 27,26,8.4,,,,,,
1960,,,,,,,,,,Mar 29,25,10.0,,,,,,
1961,,,,,,,,,,Mar 30,40,12.9,,,,,,
1962,,,,,,,Feb 20,47,12.8,Mar 20,53,17.1,,,,,,
1963,,,,Jan 22,9,2.8,Feb 25,15,5.5,Mar 25,17,6.4,,,,,,
1964,,,,Jan 29,36,9.1,Feb 25,36,10.5,Mar 31,35,10.9,,,,,,
1965,Dec 31,41,9.9,Feb 02,45,16.3,Feb 26,44,16.6,Mar 29,40,17.2,,,,,,
1966,Dec 28,13,2.7,Jan 28,27,6.9,Feb 24,36,9.9,Mar 29,29,10.2,,,,,,
1967,,,,Feb 02,36,10.9,Feb 27,37,12.6,Mar 30,47,15.6,,,,Jun 02,0,0.0
