#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 20E02: Ochoco Meadows, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ochoco Meadows (20E02) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5190 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:25 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1928,,,,,,,,,,Apr 04,26,7.5,,,,,,
1929,,,,Feb 04,37,4.3,,,,Apr 02,23,7.8,,,,,,
1930,,,,Jan 29,17,3.8,,,,Apr 04,2,0.6,,,,,,
1931,,,,Jan 30,23,5.6,,,,Apr 02,20,6.2,,,,,,
1932,,,,Jan 29,55,10.0,,,,Apr 03,28,12.7,,,,,,
1933,,,,Feb 02,29,6.5,,,,,,,,,,,,
1934,,,,Feb 01,0,0.0,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
1935,,,,Jan 24,32,9.4,,,,Apr 01,27,10.5,,,,,,
1936,Jan 03,22,4.8,,,,,,,Mar 28,35,12.6,,,,,,
1937,,,,Jan 21,30,6.1,,,,Mar 25,45,15.0,,,,,,
1938,,,,,,,Feb 26,31,10.0,Mar 29,46,14.7,,,,,,
1939,,,,Feb 01,26,5.7,Feb 26,34,9.6,Mar 29,20,7.6,,,,,,
1940,,,,Jan 29,11,1.8,Feb 27,30,8.0,Mar 29,12,3.8,,,,,,
1941,,,,Jan 28,30,8.6,Feb 28,30,9.7,Mar 31,11,4.6,,,,,,
1942,,,,Jan 31,21,5.9,Feb 28,42,11.6,Mar 31,28,9.9,,,,,,
1943,,,,Jan 30,54,13.7,Mar 01,43,14.8,Mar 31,36,13.1,,,,,,
1944,,,,Jan 31,13,2.7,Mar 01,28,6.1,Mar 30,18,5.0,,,,,,
1945,,,,Jan 31,21,4.7,Feb 28,31,8.2,Apr 02,35,11.0,,,,,,
1946,Jan 05,39,10.5,Feb 01,43,12.8,Mar 01,43,14.6,Apr 01,44,16.4,,,,,,
1947,,,,Jan 31,14,2.8,Feb 28,10,3.2,Apr 01,0,0.0,,,,,,
