#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 20G06: Quartz Mountain, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Quartz Mountain (20G06) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5320 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:20 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1929,,,,Jan 24,18,4.0,,,,Apr 01,0,0.0,,,,,,
1930,,,,Jan 27,17,6.0,,,,Apr 01,0,0.0,,,,,,
1931,,,,Jan 27,11,4.0,,,,Apr 01,0,0.0,,,,,,
1932,,,,Jan 26,29,6.9,,,,Mar 30,6,2.5,,,,,,
1933,,,,Jan 28,33,5.9,,,,,,,,,,,,
1934,,,,Jan 27,3,1.0,,,,,,,,,,,,
1935,,,,Jan 26,24,7.7,,,,Apr 01,15,6.9,,,,,,
1936,,,,Jan 27,31,11.3,,,,Mar 28,22,10.2,,,,,,
1937,,,,Jan 30,25,4.1,,,,Mar 27,28,9.4,,,,,,
1938,,,,,,,,,,Mar 26,45,15.7,,,,,,
1939,Dec 31,0,0.0,Jan 31,15,2.2,Feb 28,18,4.8,Mar 31,0,0.0,,,,,,
1940,Jan 01,0,0.0,Jan 31,1,0.1,Feb 29,8,3.1,Apr 01,0,0.0,,,,,,
1941,Jan 01,5,1.1,Feb 01,18,5.0,Feb 26,23,8.2,Apr 01,0,0.0,,,,,,
1942,Jan 01,16,2.6,Feb 02,13,3.8,Mar 04,22,7.1,Apr 06,0,0.0,,,,,,
1943,Jan 01,18,5.4,Jan 31,39,9.4,Mar 02,24,8.1,Apr 03,0,0.0,,,,,,
1944,Dec 31,6,0.7,Jan 31,12,2.3,Feb 29,24,5.5,Mar 28,14,5.1,,,,,,
1945,Dec 30,12,3.6,Jan 30,16,4.8,Feb 27,13,4.9,Mar 26,18,5.7,,,,,,
1946,Dec 31,13,4.6,Jan 29,29,7.9,Feb 28,32,11.1,Mar 31,25,8.4,,,,,,
1947,Dec 31,6,1.7,Jan 31,9,2.6,Feb 28,0,0.0,Apr 01,0,0.0,,,,,,
1948,Dec 30,6,2.3,Jan 31,0,0.0,Feb 29,1,0.2,Mar 28,12,4.3,,,,,,
1949,Jan 01,23,5.0,Feb 01,25,6.6,Mar 01,26,7.7,Apr 01,25,9.4,,,,,,
1950,Jan 07,12,2.3,Feb 03,23,6.0,Mar 01,14,6.1,Apr 02,12,5.7,,,,,,
1951,,,,Feb 01,16,5.6,Mar 04,17,5.3,Apr 02,7,3.3,,,,,,
1952,Jan 02,30,8.3,Feb 03,40,11.3,Mar 03,42,14.4,Apr 05,25,12.9,May 01,0,0.0,,,
1953,Jan 02,30,8.3,Feb 02,17,7.4,Mar 02,17,6.8,Apr 02,13,6.2,May 04,0,0.0,,,
1954,Jan 01,6,1.7,Feb 02,25,8.5,Mar 02,21,7.7,Apr 01,15,6.0,May 01,0,0.0,,,
1955,Jan 01,12,3.2,Feb 01,22,5.0,Mar 01,20,6.1,Mar 26,13,4.4,,,,,,
1956,Jan 02,18,2.8,Feb 01,25,6.5,Mar 01,38,11.2,Apr 01,23,8.9,May 01,0,0.0,,,
1957,Jan 01,0,0.0,Feb 01,13,3.4,Mar 01,0,0.0,Mar 29,0,0.0,May 01,0,0.0,,,
1958,Dec 26,9,2.4,Jan 29,25,7.5,Feb 28,18,6.2,Mar 28,18,7.7,Apr 28,0,0.0,,,
