#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 20G12: Crazyman Flat AM, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Crazyman Flat Am (20G12) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 6230 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:19 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1958,,,,Jan 31,42,10.9,Feb 27,36,13.0,Mar 26,38,14.4,,,,,,
1959,,,,Jan 30,12,2.5,Feb 25,12,3.6,Mar 27,12,4.1,,,,,,
1960,,,,Jan 21,20,4.6,Feb 21,24,7.8,Mar 23,17,6.8,,,,,,
1961,,,,Jan 24,12,4.7,Feb 25,21,7.4,Mar 29,32,12.8,Sep 01,,7.6,,,
1962,,,,Jan 24,30,8.4,Feb 23,36,10.8,Mar 27,37,13.3,Sep 01,,7.9,,,
1963,,,,Jan 28,0,0.0,Feb 23,0,0.0,Jul 01,,1.9,Sep 01,,0.0,,,
1964,,,,Jan 26,36,8.6,Feb 25,28,8.4,Mar 24,42,14.7,Sep 01,,8.9,,,
1965,,,,Jan 31,24,9.1,Feb 23,21,9.0,Mar 25,12,5.0,Sep 01,,2.2,,,
1966,,,,Jan 26,24,6.7,Feb 26,30,8.4,Mar 25,35,13.6,Apr 25,0,0.0,,,
1967,,,,Jan 31,34,9.5,Feb 28,27,8.9,Mar 27,32,10.2,Apr 27,54,18.4,,,
1968,,,,Feb 01,20,5.0,Feb 26,12,4.3,Mar 27,9,3.4,Apr 25,0,0.0,,,
1969,,,,Feb 03,58,16.2,Feb 26,48,15.4,Mar 25,38,14.4,Apr 25,12,5.8,,,
1970,,,,Jan 28,24,7.0,Feb 24,26,9.4,Mar 27,17,6.3,Apr 30,6,1.3,,,
1971,,,,Jan 28,20,6.0,Feb 26,22,8.4,Mar 29,36,12.2,Apr 26,25,10.0,,,
1972,,,,Jan 28,48,12.0,Feb 25,38,13.3,Mar 29,12,4.6,Apr 25,6,2.4,,,
1973,,,,Jan 26,18,4.7,Feb 23,18,5.4,Mar 29,18,5.6,Apr 24,4,1.4,,,
