#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21D03: Phlox Point (Disc), OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Phlox Point (disc) (21D03) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1937,,,,,,,,,,Apr 05,153,67.4,Apr 30,158,80.1,Jun 04,71,43.1
1938,Jan 03,56,19.4,Feb 01,83,31.8,Mar 01,101,42.8,Apr 04,153,65.7,May 03,116,53.6,Jun 03,45,23.8
1939,Jan 04,71,22.0,Feb 02,101,33.0,Mar 02,151,54.4,Mar 30,141,65.7,May 04,94,47.6,Jun 04,31,16.5
1940,Jan 06,20,5.5,Jan 31,30,9.7,Mar 01,81,29.6,Mar 31,81,32.4,May 01,67,34.5,Jun 01,0,0.0
1941,Dec 31,45,14.3,Feb 02,61,24.6,Mar 01,64,27.2,Mar 28,42,20.2,Apr 29,8,3.7,,,
1942,Jan 02,40,13.5,Jan 31,57,20.6,Feb 28,98,35.0,Mar 28,104,43.0,,,,,,
1943,,,,Jan 24,154,59.7,Feb 24,169,74.5,Mar 24,179,81.2,,,,,,
1944,Dec 28,22,7.5,Feb 03,50,15.0,Feb 28,82,25.1,Mar 28,107,39.0,Apr 28,90,43.3,,,
1945,Dec 29,22,6.0,Jan 30,33,10.0,Feb 27,84,26.8,Mar 28,131,47.1,Apr 30,128,58.8,May 29,82,41.6
1946,,,,Feb 01,178,63.0,Mar 04,191,76.0,Mar 27,199,79.6,Apr 30,173,88.7,May 31,85,44.1
1947,Jan 03,63,25.3,Feb 03,128,49.4,Mar 11,145,58.3,Mar 28,108,54.2,May 02,92,48.1,,,
1948,Jan 05,100,32.1,Feb 03,92,36.4,Mar 03,142,53.6,Mar 26,175,68.7,Apr 30,166,72.5,,,
1949,Jan 03,153,53.1,Feb 02,137,56.4,Feb 28,206,98.9,Mar 25,197,101.7,May 02,181,89.1,,,
