#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21D39: Mill Creek Meadow, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mill Creek Meadow (21D39) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 4400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:52 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1985,Dec 28,8,1.8,,,,Feb 26,49,16.3,Apr 01,42,16.1,,,,,,
1986,,,,Jan 28,35,11.0,Feb 26,44,16.0,Mar 26,26,10.8,,,,,,
1987,Dec 30,14,2.3,Feb 02,38,8.3,Feb 25,35,10.6,Mar 26,22,7.8,,,,,,
1988,,,,Jan 27,29,7.3,Feb 23,24,8.1,Mar 29,21,5.7,,,,,,
1989,Dec 29,24,6.2,Jan 25,40,10.9,Feb 24,41,12.8,Mar 31,33,12.1,,,,,,
1990,,,,Mar 01,,7.1,Mar 23,35,11.7,Mar 30,26,9.7,,,,,,
1991,,,,Jan 25,18,6.6,Feb 26,8,3.1,Apr 02,19,5.9,,,,,,
1992,,,,Jan 27,14,4.7,Feb 24,11,4.4,Mar 25,0,0.0,,,,,,
1993,Jan 05,52,11.1,Jan 28,49,15.1,Feb 26,54,17.4,Mar 30,37,16.0,,,,,,
1994,Dec 27,20,6.7,Jan 28,22,7.8,Feb 28,48,13.1,Mar 29,29,11.7,,,,,,
1995,Dec 29,15,4.8,Jan 31,18,6.9,Feb 28,13,4.3,Mar 28,6,1.9,,,,,,
1996,Dec 28,4,1.1,Jan 29,41,5.2,Mar 01,28,3.8,Mar 28,9,2.8,,,,,,
1997,Dec 31,54,18.6,Feb 04,39,14.6,Feb 25,37,14.4,Mar 27,33,13.6,,,,,,
1998,Dec 30,7,1.3,Jan 28,30,9.7,Feb 24,38,11.1,Mar 27,24,8.6,,,,,,
1999,Dec 30,22,7.9,Jan 28,35,9.8,Feb 23,53,15.4,Mar 31,43,13.4,,,,,,
2000,Dec 30,6,2.3,Jan 28,39,10.8,Feb 27,50,14.8,Mar 30,39,15.8,,,,,,
2001,Dec 28,23,5.2,Jan 31,30,7.6,Feb 27,31,8.8,Mar 29,24,9.0,,,,,,
2002,Dec 27,38,11.4,Jan 29,52,15.7,Feb 25,49,17.7,Mar 28,50,18.8,,,,,,
2003,Dec 31,27,5.1,Jan 30,14,5.6,Feb 27,13,4.4,Mar 31,15,5.7,,,,,,
2004,Dec 30,39,8.4,Jan 27,42,13.1,Feb 26,53,17.4,Mar 30,33,13.4,,,,,,
2005,Dec 27,5,1.6,Jan 27,8,2.4,Feb 28,13,4.3,Mar 29,13,3.1,,,,,,
2006,Dec 28,27,7.0,Jan 30,43,12.2,Feb 24,36,11.7,Mar 29,42,14.4,,,,,,
2007,Dec 28,30,7.4,Jan 30,23,6.1,,,,,,,,,,,,
2008,Dec 30,40,8.1,Feb 08,72,20.0,Mar 03,61,21.0,Apr 02,57,22.6,,,,,,
2009,Dec 30,29,6.6,Jan 29,26,8.0,Mar 03,43,18.1,Apr 03,52,15.6,,,,,,
2010,,,,,,,Feb 24,24,6.4,Apr 02,27,6.3,,,,,,
2011,,,7.4,,,6.3,,,8.7,,,10.4,,,,,,
2012,Dec 29,8,2.1,Jan 27,24,7.6,Feb 27,31,8.1,Mar 29,38,13.4,,,,,,
2013,,,,,,,Feb 27,30,7.6,Mar 28,26,9.3,,,,,,
2014,,,,,,,Feb 28,27,8.4,Mar 31,19,7.6,,,,,,
2015,,,,Jan 28,6,1.9,Feb 27,0,0.0,Mar 31,0,0.0,,,,,,
2016,Dec 30,32,7.0,Jan 29,31,9.7,Feb 26,24,9.0,Apr 02,11,4.9,,,,,,
2017,,,,Jan 30,35,11.0,,,,Apr 03,28,11.4,,,,,,
2018,Jan 02,6,1.8,Feb 03,10,3.0,Mar 04,30,6.7,Mar 29,22,7.3,,,,,,
2019,Dec 31,21,4.9,Jan 30,28,8.1,Mar 01,60,15.7,,,,,,,,,
2020,,,,,,,Feb 27,29,10.4,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2023,,,,Jan 31,33,10.7,Feb 28,47,14.6,Mar 31,61,19.0,,,,,,
2024,,,,,,,,,,,,,,,,,,
