#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 22F02: Waldo Lake (Disc), OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Waldo Lake (disc) (22F02) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:40 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,,,,,,,,,,Mar 31,99,34.2,,,,,,
1939,,,,Jan 30,64,15.7,,,,Apr 03,73,32.3,,,,,,
1940,,,,Feb 02,16,5.6,,,,Mar 27,35,12.8,,,,,,
1941,,,,Jan 30,39,11.2,,,,Mar 31,26,10.2,,,,,,
1942,,,,,,,,,,Mar 31,48,19.4,,,,,,
1943,,,,,,,,,,Mar 30,103,41.0,,,,,,
1944,,,,Feb 01,27,6.9,,,,Mar 30,42,14.3,,,,,,
1945,,,,,,,,,,Apr 01,64,21.2,,,,,,
1946,,,,,,,,,,Mar 25,124,49.1,,,,,,
1947,,,,,,,,,,Apr 02,72,27.5,,,,,,
1948,,,,,,,,,,Mar 28,91,31.3,,,,,,
1949,,,,,,,,,,,,,May 02,89,41.1,,,
1950,,,,,,,,,,Apr 01,108,48.7,,,,,,
1951,,,,Jan 28,79,23.3,,,,Mar 28,105,44.0,,,,,,
1952,,,,Feb 01,105,38.4,,,,Mar 28,121,53.2,,,,,,
1953,,,,Jan 31,63,22.0,,,,Apr 02,90,37.3,,,,,,
1954,,,,Feb 03,80,28.3,,,,Mar 29,102,36.7,,,,,,
1955,,,,Jan 27,54,17.7,,,,Mar 27,93,34.5,,,,,,
1956,,,,Jan 31,89,30.2,Feb 26,136,53.2,,,,,,,,,
1957,,,,Jan 29,46,14.1,,,,Mar 31,88,29.7,,,,,,
1958,,,,Jan 29,80,26.0,,,,Mar 25,88,35.2,,,,,,
1959,,,,Jan 28,24,7.7,,,,Mar 24,48,16.7,,,,,,
1960,,,,Jan 21,33,8.3,,,,Mar 22,62,24.0,,,,,,
1961,,,,Jan 24,33,11.1,,,,Mar 21,70,25.7,,,,,,
