#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 22F17: Trap Creek, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Trap Creek (22F17) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 3830 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:11 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1937,,,,,,,,,,Mar 29,34,16.6,,,,,,
1938,,,,Jan 28,19,5.1,,,,Mar 28,68,23.3,,,,,,
1939,,,,,,,Feb 25,54,15.9,Mar 28,44,18.1,,,,,,
1940,,,,Jan 20,4,1.0,,,,Mar 30,0,0.0,,,,,,
1941,,,,Feb 04,9,3.0,,,,Mar 31,0,0.0,,,,,,
1942,,,,,,,,,,Mar 31,15,5.4,,,,,,
1943,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,Mar 31,14,4.6,,,,,,
1945,,,,,,,,,,Apr 01,18,6.4,,,,,,
1946,,,,,,,,,,Mar 29,60,22.4,,,,,,
1947,,,,Jan 28,14,3.8,,,,Mar 31,0,0.0,,,,,,
1948,,,,,,,,,,Apr 07,44,13.1,,,,,,
1949,,,,,,,,,,,,,,,,,,
1950,,,,Feb 08,56,19.6,,,,Apr 04,45,18.4,,,,,,
1951,,,,,,,,,,,,,,,,,,
1952,,,,Jan 31,57,19.8,,,,Mar 26,67,24.0,May 01,27,12.0,,,
1953,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,
1955,,,,,,,Mar 01,50,15.1,Mar 31,44,15.5,May 06,50,20.0,,,
1956,,,,Feb 07,32,9.8,Mar 06,80,21.0,Apr 02,53,19.7,Apr 30,0,0.0,,,
1957,Jan 01,0,0.0,Feb 07,24,6.5,Mar 08,0,0.0,Mar 28,0,0.0,,,,,,
1958,Dec 31,25,6.3,Jan 25,22,7.5,Feb 23,0,0.0,Apr 01,0,0.0,Apr 23,0,0.0,,,
1959,Dec 24,0,0.0,Jan 27,0,0.0,Feb 25,11,3.7,Mar 25,0,0.0,,,,,,
