#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 22G43: Siskiyou Summit Rev. #2, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Siskiyou Summit Rev. #2 (22G43) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 4560 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:20 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1974,Dec 28,7,2.0,Feb 01,0,0.0,Feb 27,17,5.2,Mar 28,15,5.2,Apr 30,0,0.0,,,
1975,Dec 31,14,2.0,Jan 28,19,5.6,Feb 27,36,12.2,Mar 28,56,18.8,,,,,,
1976,Dec 30,0,0.0,Jan 27,7,2.4,Feb 23,12,3.7,Mar 29,13,4.4,Apr 27,0,0.0,,,
1977,Dec 28,0,0.0,Jan 28,8,2.2,Feb 28,7,1.5,Mar 28,11,3.5,Apr 27,0,0.0,,,
1978,Dec 28,6,2.4,Jan 27,6,1.2,Feb 24,0,0.0,Mar 29,0,0.0,Apr 26,0,0.0,,,
1979,Dec 28,0,0.1,Jan 30,5,1.3,Feb 27,16,3.0,Mar 26,0,0.0,Apr 26,0,0.0,,,
1980,Dec 28,13,3.0,Jan 30,0,0.0,Feb 26,0,0.0,Mar 27,0,0.0,Apr 25,0,0.0,,,
1981,Jan 05,0,0.0,Jan 29,12,1.7,Feb 27,4,0.6,Mar 26,0,0.0,Apr 28,0,0.0,,,
1982,Dec 30,8,1.9,Jan 27,28,8.1,Feb 24,8,2.7,Mar 29,7,1.0,Apr 27,0,0.0,,,
1983,,,,Feb 02,22,8.7,Feb 22,30,13.1,Apr 01,18,7.8,,,,,,
1984,,,,Jan 26,14,5.5,,,,,,,,,,,,
1985,Dec 27,23,6.8,Jan 30,21,6.7,Feb 26,29,10.3,Apr 02,31,11.9,,,,,,
1986,Dec 27,9,2.9,Jan 29,1,0.5,Feb 27,0,0.0,Mar 27,0,0.0,,,,,,
1987,Dec 23,7,1.2,Jan 27,20,5.6,Feb 23,22,6.4,Mar 25,11,3.5,Apr 27,0,0.0,,,
