#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 03F04: Ditch Creek, SD
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ditch Creek (03F04) 
# South Dakota  SNOW COURSE/AERIAL MARKER Site - 6890 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:21 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1989,Dec 28,14,2.8,Jan 30,19,3.8,,,,,,,,,,,,
1990,Dec 27,9,1.0,,,,Feb 27,23,5.1,Mar 30,29,8.1,,,,,,
1991,,,,Jan 31,13,2.4,Feb 27,15,2.9,Mar 28,15,3.9,,,,,,
1992,Dec 30,12,2.2,Jan 29,14,2.9,Feb 27,14,2.8,Mar 31,11,2.8,Apr 30,0,0.0,,,
1993,Dec 29,15,2.3,Jan 28,17,2.9,Feb 26,24,4.8,Apr 01,16,3.6,Apr 27,3,1.2,,,
1994,Dec 28,12,2.2,Jan 26,16,3.5,Mar 01,22,5.7,Mar 31,19,5.7,May 03,0,0.0,,,
1995,Dec 29,6,1.3,Jan 26,8,1.9,Feb 28,10,2.1,Mar 30,6,1.4,Apr 27,4,1.0,,,
1996,Dec 26,11,2.8,Jan 26,19,4.1,Feb 29,19,4.9,Mar 25,24,6.1,Sep 01,16,4.8,,,
1997,Dec 30,16,3.3,Jan 28,16,3.6,Feb 27,19,4.4,Mar 26,15,4.7,Apr 25,8,2.6,,,
1998,Dec 31,10,1.2,Jan 27,12,1.8,Mar 03,17,3.7,Mar 26,11,2.6,Apr 28,0,0.0,,,
1999,,,,,,,,,,,,,,,,,,
2000,Dec 27,6,0.7,Jan 31,12,1.7,Feb 28,7,1.7,Mar 31,4,1.0,,,,,,
2001,Dec 28,13,2.3,Jan 26,12,2.4,Mar 01,20,4.9,Mar 28,20,5.5,Apr 26,13,2.8,,,
2002,Dec 27,7,1.1,Jan 29,10,1.4,Feb 27,9,1.8,Mar 27,17,3.4,Apr 30,0,0.0,,,
2003,Dec 30,3,0.4,Jan 29,10,1.5,Feb 26,16,3.5,Mar 25,11,3.5,,,,,,
