#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09J14: Burnt Creek, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Burnt Creek (09J14) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 7900 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:31 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1965,,,,,,,,,,Mar 25,26,6.3,Apr 23,0,0.0,,,
1966,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,Apr 30,16,5.4,May 23,0,0.0
1969,Dec 31,10,1.5,Jan 31,16,2.8,Feb 28,31,5.0,Mar 30,25,6.5,Apr 24,0,0.0,May 28,0,0.0
1970,Dec 29,10,2.3,Jan 30,10,2.4,Feb 27,0,0.0,Mar 27,39,7.8,Apr 24,42,10.6,May 27,0,0.0
1971,Dec 30,14,3.6,Jan 29,22,6.5,Feb 23,26,6.6,,,,Apr 22,15,3.4,May 21,0,0.0
1972,Dec 22,17,3.4,Jan 28,21,4.5,Feb 24,20,4.9,Mar 23,2,0.7,Apr 28,0,0.0,May 22,0,0.0
1973,,,,Jan 24,29,5.7,Feb 22,25,6.0,Mar 26,26,6.3,Apr 30,28,8.6,May 29,0,0.0
1974,Dec 18,12,2.1,Jan 30,18,3.9,Feb 21,23,5.1,Mar 22,16,4.4,Apr 29,0,0.0,May 31,0,0.0
1975,Dec 18,6,0.7,,,,Feb 21,18,3.1,Mar 20,18,4.4,Apr 24,20,7.7,May 22,24,3.9
1976,Dec 24,12,2.5,Jan 28,17,3.8,Feb 23,25,5.7,Mar 25,23,6.0,Apr 26,12,1.8,May 22,0,0.0
1977,Dec 29,5,0.5,Jan 28,9,1.0,Feb 23,8,1.4,Mar 28,9,2.0,Apr 26,0,0.0,May 31,0,0.0
1978,Dec 30,7,1.3,Jan 31,14,3.2,Feb 27,17,4.5,Mar 31,13,4.4,Apr 27,5,0.6,Jun 02,0,0.0
