#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10J12: Lakefork Mountain #3, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lakefork Mountain #3 (10J12) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 8464 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:19 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1953,,,,Jan 28,18,3.6,Mar 02,21,5.2,Mar 30,3,0.5,,,,,,
1954,,,,Jan 28,31,5.0,Feb 26,23,6.0,Apr 03,22,7.6,May 04,0,0.0,,,
1955,,,,Jan 31,21,5.0,Feb 25,33,7.1,Apr 01,35,10.2,May 04,0,0.0,,,
1956,,,,Jan 31,33,6.7,Feb 29,32,8.4,Mar 27,23,5.2,Apr 28,0,0.0,,,
1957,,,,Feb 01,20,3.6,Feb 27,19,4.0,Mar 29,16,3.9,May 01,2,0.9,May 27,0,0.0
1958,,,,Feb 01,19,3.6,Feb 28,14,3.4,Mar 25,20,5.8,Apr 30,2,0.6,,,
1959,,,,Jan 28,5,0.8,Feb 26,23,5.2,Mar 28,15,5.4,Apr 27,0,0.0,,,
1960,,,,Jan 28,20,3.7,Feb 27,25,4.8,Mar 25,12,4.2,Apr 29,5,0.6,,,
1961,,,,Jan 26,4,1.0,Feb 25,3,0.4,Mar 31,7,2.1,Apr 27,0,0.0,,,
1962,,,,Jan 26,36,7.8,Feb 23,43,10.7,Mar 27,44,13.2,Apr 26,0,0.0,,,
1963,,,,Jan 28,1,0.2,Feb 25,12,3.2,Mar 29,12,3.4,Apr 26,2,0.8,,,
1964,,,,Jan 29,8,1.3,Feb 29,8,1.6,Mar 26,18,2.5,Apr 28,3,0.9,,,
1965,,,,Jan 28,28,7.3,Feb 26,25,7.4,Mar 29,30,8.3,Apr 26,17,5.1,,,
1966,,,,Feb 01,24,5.5,Feb 28,28,6.4,Mar 29,16,5.3,Apr 28,0,0.0,,,
1967,,,,Jan 25,39,7.3,Feb 28,28,6.7,Mar 28,18,6.1,Apr 24,3,0.8,,,
