#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11H25: Little Bear-Upper, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Little Bear-upper (11H25) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 6550 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:43 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1956,,,,,,,Mar 13,36,11.8,Apr 03,22,7.4,,,,,,
1957,Dec 27,19,4.0,Jan 29,32,7.9,Feb 25,29,9.8,Mar 27,28,11.0,May 01,0,0.0,,,
1958,Dec 30,32,5.9,Feb 04,36,9.6,Feb 28,38,10.9,Mar 27,38,13.8,May 01,12,4.5,May 27,0,0.0
1959,,,,,,,Feb 26,34,9.7,Mar 25,25,9.0,Apr 23,0,0.0,,,
1960,,,,,,,Feb 24,45,13.0,Mar 30,35,13.7,Apr 27,9,1.5,,,
1961,,,,,,,Feb 24,29,6.2,Mar 29,28,10.1,Apr 27,0,0.0,May 26,0,0.0
1962,,,,,,,Feb 27,41,12.3,Mar 30,44,16.6,May 01,0,0.0,,,
1963,,,,,,,Feb 25,7,2.3,Mar 26,14,5.2,Apr 30,4,1.4,May 29,0,0.0
1964,,,,,,,Feb 25,32,8.0,Mar 25,44,11.8,Apr 28,12,6.0,,,
1965,,,,,,,Feb 24,37,10.9,Mar 24,34,11.6,Apr 27,0,0.0,,,
1966,,,,,,,Mar 01,37,10.3,Mar 25,31,11.8,Apr 28,0,0.0,May 27,0,0.0
1967,,,,,,,Feb 23,33,8.5,Mar 27,28,9.2,Apr 26,31,12.0,,,
1968,,,,,,,Feb 27,31,9.7,Mar 29,29,11.6,Apr 26,21,8.9,,,
1969,,,,,,,Feb 25,64,17.8,Mar 25,50,18.3,Apr 28,12,4.9,,,
1970,,,,,,,Feb 26,29,10.0,Mar 28,31,11.2,Apr 27,28,9.9,,,
1971,,,,,,,Feb 24,42,13.5,Mar 26,41,15.0,Apr 27,13,4.1,,,
1972,,,,,,,Feb 25,47,15.9,Mar 24,29,11.9,Apr 26,12,5.1,,,
1973,,,,,,,Feb 23,48,14.0,Mar 27,63,20.3,Apr 25,43,17.8,,,
1974,Dec 21,15,3.8,Jan 29,42,11.4,Mar 01,47,15.4,Apr 03,43,14.9,Apr 29,20,8.3,,,
1975,Dec 26,20,3.9,Jan 29,29,7.7,Feb 26,42,11.8,Apr 01,54,19.0,May 01,39,16.6,May 28,0,0.0
1976,Jan 02,24,5.7,Jan 27,26,7.6,Feb 26,42,12.6,Mar 31,44,14.4,Apr 28,13,5.2,May 26,0,0.0
1977,Dec 28,0,0.0,Jan 26,13,2.2,Feb 25,19,3.1,Mar 31,25,6.8,Apr 25,0,0.0,May 31,0,0.0
1978,Jan 09,30,7.0,Jan 27,38,9.3,Feb 23,41,12.3,Mar 29,27,11.4,Apr 24,0,0.0,May 30,0,0.0
1979,Dec 27,28,6.9,Jan 30,42,12.5,Feb 27,50,15.1,Mar 26,43,16.0,Apr 25,20,8.4,May 29,0,0.0
1980,Dec 27,12,2.2,Feb 03,28,8.2,Feb 25,39,10.6,Apr 02,46,16.7,Apr 29,0,0.0,May 28,0,0.0
1981,Dec 26,10,2.8,Jan 26,16,3.3,Feb 22,19,5.1,Mar 25,17,6.4,Apr 24,0,0.0,May 27,0,0.0
1982,,,,Jan 25,40,11.3,Feb 24,30,11.5,Mar 26,41,16.1,Apr 25,20,9.2,May 26,0,0.0
1983,Dec 28,37,7.0,Jan 26,30,8.0,Feb 22,40,11.2,Mar 26,41,10.8,Apr 25,30,8.5,May 27,0,0.0
1984,Jan 03,49,15.5,Jan 29,44,15.7,Feb 22,53,18.0,Mar 28,48,18.2,Apr 24,32,14.5,May 29,0,0.0
1985,Dec 27,36,9.6,Jan 26,33,10.3,Feb 24,47,13.7,Mar 25,40,14.9,Apr 25,0,0.0,May 30,0,0.0
