#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11H32: Lost Creek Reservoir, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lost Creek Reservoir (11H32) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 6083 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:02:04 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1963,,,,,,,Feb 20,0,0.0,Mar 25,0,0.0,Apr 26,0,0.0,May 28,0,0.0
1964,,,,,,,Feb 24,0,0.0,Mar 24,20,5.2,Apr 27,0,0.0,,,
1965,,,,,,,Feb 19,18,6.1,Apr 01,0,0.1,Apr 29,0,0.0,,,
1966,,,,,,,Feb 23,23,5.2,Mar 24,8,3.2,Apr 26,0,0.0,,,
1967,,,,,,,Mar 01,16,4.8,Mar 30,2,0.1,Apr 24,0,0.0,,,
1968,,,,,,,Feb 23,18,4.6,Mar 28,0,0.0,Apr 25,0,0.0,,,
1969,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,
1972,,,,,,,Feb 29,26,9.8,Mar 31,0,0.0,,,,,,
1973,,,,,,,,,,Apr 02,22,6.8,Apr 27,0,0.0,,,
1974,,,,,,,Feb 26,35,9.9,,,,,,,,,
1975,Dec 26,12,1.9,Jan 29,16,3.5,Feb 26,24,6.4,Apr 01,17,6.6,May 01,0,0.0,May 29,0,0.0
1976,Jan 02,9,2.1,Jan 27,12,3.1,Feb 26,17,5.7,Mar 31,0,0.0,Apr 28,0,0.0,May 26,0,0.0
1977,Dec 28,0,0.0,Jan 26,0,0.0,Feb 25,6,0.9,Mar 31,0,0.0,Apr 25,0,0.0,May 31,0,0.0
1978,Jan 09,15,3.3,Jan 27,24,4.6,Feb 23,22,7.7,Mar 29,0,0.0,Apr 24,0,0.0,May 30,0,0.0
1979,Dec 28,18,4.2,Jan 30,30,6.9,Feb 27,30,9.3,Mar 26,17,6.4,Apr 25,0,0.0,Jun 01,0,0.0
1980,Dec 26,0,0.0,,,,,,,,,,Apr 28,0,0.0,May 28,0,0.0
