#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11J02: Chalk Creek #2, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Chalk Creek #2 (11J02) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 8200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:47 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1951,,,,,,,Feb 26,39,11.1,Mar 29,45,14.9,Apr 27,22,8.4,,,
1952,,,,,,,Mar 03,63,21.3,Mar 31,73,25.7,Apr 29,41,18.9,May 20,1,0.1
1953,,,,,,,Feb 27,33,10.9,Mar 26,42,13.2,Apr 29,28,10.3,,,
1954,Jan 01,26,6.9,Jan 27,39,9.5,Feb 25,38,11.7,Mar 31,52,15.4,Apr 28,14,4.9,,,
1955,,,,Jan 31,28,6.6,Mar 01,47,8.6,Apr 02,46,14.3,May 03,24,8.0,,,
1956,Dec 28,30,8.1,Jan 31,49,13.2,Mar 01,54,15.0,Apr 04,44,15.8,Apr 27,19,7.5,,,
1957,Dec 27,31,7.1,Jan 30,45,10.9,Feb 21,42,13.3,Mar 25,52,16.9,Apr 24,56,19.5,,,
1958,Jan 02,26,6.3,Jan 28,35,7.3,Mar 06,38,10.7,Mar 28,43,15.0,Apr 25,38,12.6,,,
1959,,,,Jan 27,29,5.6,Feb 26,43,11.5,Mar 25,48,15.1,Apr 28,28,11.4,,,
1960,,,,Jan 27,23,4.3,Feb 25,36,8.4,Mar 28,29,9.6,Apr 26,21,6.0,,,
1961,,,,Jan 25,22,5.4,Feb 23,34,7.2,Mar 29,42,11.5,Apr 26,27,9.1,,,
1962,,,,Jan 25,39,9.7,Feb 23,53,12.7,Mar 27,52,16.8,Apr 25,20,7.9,,,
1963,,,,Jan 28,21,3.8,Feb 25,26,7.1,Mar 25,33,10.6,Apr 24,45,15.7,,,
1964,,,,Jan 27,29,6.4,Feb 25,40,8.8,Mar 27,58,14.7,Apr 27,52,16.4,,,
1965,,,,Jan 28,51,15.6,Feb 23,60,17.9,Mar 29,62,20.7,Apr 27,45,19.4,May 27,5,2.1
1966,,,,Jan 26,38,10.2,Feb 23,41,11.7,Mar 28,39,13.2,Apr 28,14,5.7,,,
1967,,,,Jan 27,45,11.1,Feb 23,47,13.2,Mar 28,48,16.8,Apr 26,49,19.2,May 26,12,3.5
1968,,,,Jan 29,39,7.6,Feb 26,42,11.8,Mar 26,51,14.6,Apr 24,48,17.5,May 29,5,1.9
1969,,,,Jan 29,52,12.1,Feb 25,54,15.6,Mar 25,58,18.8,Apr 25,33,12.9,,,
1970,,,,Jan 28,45,10.1,Feb 20,41,11.1,Mar 26,49,14.9,Apr 27,47,14.9,May 26,0,0.0
1971,,,,Jan 27,43,12.7,Feb 23,51,15.8,Mar 26,58,19.3,Apr 26,40,14.6,May 26,0,0.0
1972,Dec 27,35,9.1,Jan 26,51,13.8,Feb 24,48,15.4,Mar 27,47,16.3,Apr 24,45,18.4,May 30,0,0.0
1973,Dec 27,31,8.0,Jan 29,45,10.7,Feb 23,45,11.9,Mar 26,47,14.7,Apr 26,47,16.5,May 29,0,0.0
1974,Dec 26,32,6.4,Jan 29,48,11.5,Feb 22,51,14.3,Mar 26,46,15.9,Apr 25,54,21.1,Jun 03,0,0.0
1975,Dec 27,25,4.4,Jan 30,38,8.5,Feb 28,42,11.3,Mar 29,60,17.2,Apr 30,61,20.7,May 27,27,10.8
