#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11J17: Dutchman R.S., UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Dutchman R.s. (11J17) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 7560 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:11:31 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1931,,,,,,,,,,Mar 26,25,7.3,,,,,,
1932,,,,,,,,,,Mar 31,63,23.6,,,,,,
1933,,,,,,,,,,Mar 31,37,18.0,,,,,,
1934,,,,,,,,,,Mar 31,10,5.2,,,,,,
1935,,,,,,,,,,Mar 27,36,13.9,,,,,,
1936,,,,,,,,,,Mar 30,66,27.2,,,,,,
1937,,,,,,,,,,Mar 26,67,26.0,,,,,,
1938,,,,,,,,,,Mar 29,48,18.1,,,,,,
1939,,,,,,,,,,Mar 30,40,15.4,,,,,,
1940,,,,,,,,,,Mar 29,35,12.6,,,,,,
1941,,,,,,,,,,Mar 28,46,18.7,,,,,,
1942,,,,,,,,,,Mar 31,47,18.4,,,,,,
1943,,,,,,,,,,Apr 04,51,21.1,,,,,,
1944,,,,,,,,,,Mar 30,54,18.0,,,,,,
1945,,,,,,,,,,Mar 30,61,21.8,,,,,,
1946,,,,,,,,,,Mar 29,38,15.0,,,,,,
1947,,,,,,,,,,Mar 26,40,14.0,,,,,,
1948,,,,,,,,,,Mar 31,63,19.8,,,,,,
1949,,,,,,,,,,Mar 30,60,24.4,,,,,,
1950,,,,,,,,,,Mar 29,65,27.0,,,,,,
1951,,,,,,,,,,Mar 31,55,22.2,,,,,,
1952,,,,,,,,,,Apr 01,87,34.6,,,,,,
1953,,,,,,,,,,Mar 29,39,13.8,,,,,,
1954,,,,,,,,,,Mar 27,50,15.6,,,,,,
1955,,,,,,,Mar 02,52,17.2,Mar 28,56,19.4,Apr 28,25,12.5,,,
1956,,,,,,,Feb 25,58,18.8,Apr 02,42,14.6,Apr 25,0,0.1,,,
1957,Jan 02,21,5.1,,,,Feb 28,49,17.0,Apr 05,46,17.6,Apr 29,26,11.5,May 31,0,0.0
1958,,,,,,,Mar 08,56,19.5,Mar 31,67,27.4,Apr 30,49,21.7,,,
1959,,,,,,,Feb 27,43,13.8,Mar 30,41,16.6,Apr 29,2,0.6,May 28,0,0.0
1960,Dec 30,13,2.1,,,,Feb 29,49,14.5,Mar 29,34,13.4,Apr 29,1,0.3,,,
1961,,,,,,,Feb 27,19,4.9,Mar 30,27,8.3,Apr 27,0,0.0,,,
1962,,,,Feb 03,42,14.6,Mar 07,59,17.8,Mar 30,54,22.3,Apr 27,9,3.6,May 31,0,0.0
1963,,,,,,,Feb 27,26,8.8,Mar 28,26,11.1,Apr 30,30,12.5,,,
1964,,,,,,,Feb 29,28,7.8,Mar 31,38,11.9,Apr 29,25,11.4,May 27,0,0.0
1965,,,,,,,Feb 26,52,19.0,Mar 30,48,17.9,Apr 29,25,11.6,Jun 01,0,0.0
1966,,,,,,,Mar 01,48,14.6,Mar 30,27,10.9,Apr 28,0,0.0,,,
1967,,,,,,,Feb 27,57,17.6,Mar 31,42,15.0,Apr 27,33,14.9,,,
1968,,,,,,,Feb 27,46,15.2,Mar 28,42,16.9,Apr 29,28,12.8,May 29,0,0.0
1969,Dec 31,38,9.1,Jan 31,65,19.8,Mar 18,90,27.2,Mar 28,64,27.2,Apr 29,25,12.5,May 26,0,0.0
1970,,,,,,,Feb 27,36,13.2,Mar 31,44,15.7,Apr 30,44,14.9,May 27,0,0.0
1971,,,,,,,Mar 01,47,14.4,Mar 31,36,12.5,Apr 30,8,3.0,May 28,0,0.0
1972,Jan 04,42,14.2,Jan 28,54,17.8,Feb 29,42,16.8,Mar 31,27,12.6,Apr 28,0,0.0,May 30,0,0.0
1973,Dec 29,32,8.4,Jan 31,42,12.4,Feb 28,56,17.4,Mar 30,58,21.0,Apr 27,44,18.6,May 30,0,0.0
1974,Jan 03,40,10.1,Jan 30,48,14.2,Feb 27,47,16.4,Mar 28,27,12.0,Apr 29,16,8.2,May 30,0,0.0
1975,Dec 31,26,6.9,Jan 30,42,13.1,Feb 27,57,18.3,Mar 27,75,23.7,Apr 30,60,25.5,May 30,12,4.9
1976,Jan 06,31,8.1,Jan 30,31,10.1,Feb 27,47,15.1,Apr 01,42,15.1,Apr 30,4,1.8,May 26,0,0.0
1977,Dec 27,1,0.2,Jan 25,13,2.7,Feb 25,22,4.3,Mar 31,20,6.9,Apr 25,0,0.0,May 31,0,0.0
1978,Dec 27,28,7.7,Jan 24,54,13.9,Feb 28,67,21.8,Mar 29,59,25.5,Apr 25,42,22.0,May 30,0,0.0
1979,Dec 30,35,9.8,Jan 29,55,16.0,Feb 27,71,20.8,Mar 31,61,22.2,Apr 27,32,13.8,May 29,0,0.0
1980,Dec 28,15,3.3,Feb 01,55,17.6,Feb 28,81,28.2,Mar 28,85,33.8,Apr 29,41,20.0,May 29,4,0.2
1981,Dec 27,17,4.8,Jan 29,34,8.0,Feb 25,30,10.6,Mar 25,38,13.0,Apr 28,0,0.0,May 27,0,0.0
1982,Dec 26,28,6.2,Jan 30,56,19.0,Feb 27,53,22.0,Mar 27,71,28.4,May 01,35,18.6,,,
1983,Dec 29,47,13.7,Jan 29,56,15.8,Feb 26,59,19.1,Mar 31,78,25.6,Apr 30,64,24.7,May 28,32,14.9
1984,,,,,,,,,,,,,,,,,,
