#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11K13: Beaver Dams, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Beaver Dams (11K13) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 8000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:46 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1951,,,,,,,,,,Mar 30,28,8.8,,,,,,
1952,,,,,,,Feb 28,55,17.8,Mar 26,76,24.6,,,,,,
1953,,,,,,,Mar 03,37,10.3,Mar 30,29,9.8,May 04,16,6.2,,,
1954,,,,,,,Mar 04,25,6.1,Apr 03,25,8.4,Apr 27,0,0.0,,,
1955,,,,,,,Mar 04,42,12.5,Mar 29,40,12.3,Apr 27,20,7.0,,,
1956,,,,,,,Mar 03,38,11.2,Mar 29,27,10.2,Apr 26,0,0.0,,,
1957,,,,Feb 01,35,8.4,Mar 01,31,9.5,Apr 01,48,14.7,May 03,28,11.3,May 27,0,0.0
1958,,,,Feb 05,36,8.3,Mar 03,46,13.8,Apr 02,46,16.3,Apr 30,28,12.0,,,
1959,Dec 30,8,1.2,,,,Feb 26,38,10.1,Mar 26,27,9.4,Apr 27,5,1.1,,,
1960,Dec 29,14,1.7,,,,Feb 24,39,9.8,Mar 29,33,12.4,Apr 27,4,1.5,,,
1961,Dec 28,14,3.2,,,,Feb 23,26,5.2,Mar 28,41,9.7,Apr 26,20,8.2,May 26,0,0.0
1962,Dec 26,25,6.2,,,,Feb 23,49,13.5,Mar 27,50,18.0,Apr 25,21,8.9,May 28,0,0.0
1963,Dec 26,12,1.9,,,,Feb 25,24,7.4,Mar 26,33,11.8,Apr 25,20,8.1,May 28,0,0.0
1964,Dec 26,16,2.8,,,,Feb 25,33,7.2,Mar 26,42,10.4,Apr 27,26,9.6,May 26,0,0.0
1965,Jan 02,34,8.8,,,,Feb 23,44,13.1,Mar 26,43,13.3,Apr 27,20,8.8,May 25,0,0.0
1966,Dec 28,10,1.8,,,,Feb 23,28,6.2,Mar 29,15,5.0,Apr 26,0,0.0,May 27,0,0.0
