#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11K29: Upper Joes Valley, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Upper Joes Valley (11K29) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 8681 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:45 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1956,,,,Feb 06,33,8.3,Mar 02,39,9.8,Apr 04,24,7.5,,,,,,
1957,,,,Jan 31,31,6.6,Feb 28,35,8.9,Mar 28,41,13.0,Apr 29,34,11.3,May 30,1,0.1
1958,Jan 06,24,5.3,Jan 28,29,5.6,Mar 08,38,10.7,Apr 03,45,13.9,May 02,24,8.2,,,
1959,,,,Jan 27,14,2.7,Feb 25,37,7.9,Mar 25,25,7.4,Apr 29,0,0.0,,,
1960,,,,Jan 27,17,2.7,Feb 27,40,9.6,Mar 29,28,9.4,Apr 26,4,1.5,,,
1961,,,,Jan 26,12,2.3,Feb 23,16,3.0,Mar 28,31,8.1,Apr 25,14,4.0,,,
1962,,,,Jan 29,33,8.1,Feb 26,54,12.1,Mar 27,47,15.1,Apr 26,17,5.7,,,
1963,,,,Jan 29,14,1.5,Feb 26,17,5.4,Mar 26,25,8.0,Apr 24,14,5.2,,,
1964,,,,Jan 29,13,1.9,Feb 26,17,3.1,Mar 27,30,6.0,Apr 28,14,4.2,,,
1965,,,,Jan 27,49,13.1,Feb 24,45,13.6,Mar 29,51,16.4,Apr 29,34,12.6,,,
1966,,,,Jan 31,27,5.9,Feb 24,33,7.8,Mar 29,21,5.8,Apr 25,0,0.0,,,
1967,,,,Jan 27,38,7.4,Feb 23,32,9.4,Mar 29,22,7.5,Apr 25,19,6.0,,,
1968,,,,Jan 26,20,5.0,Feb 27,36,9.7,Mar 26,35,11.1,Apr 26,28,10.9,,,
1969,,,,Jan 29,50,10.4,Mar 01,59,16.2,Mar 25,47,16.8,Apr 26,18,6.5,,,
1970,,,,Feb 05,33,8.9,Feb 27,31,8.2,Mar 30,39,11.0,Apr 29,36,12.0,,,
1971,Dec 30,28,5.7,Jan 29,20,5.7,Mar 01,34,8.9,Mar 27,28,9.1,Apr 29,1,0.4,,,
1972,Dec 29,34,7.0,Jan 28,38,9.3,Feb 28,36,10.3,Mar 30,15,5.1,Apr 27,0,0.0,,,
1973,Dec 30,26,5.4,Jan 30,30,6.7,Feb 26,34,8.5,Mar 28,38,10.4,Apr 26,26,9.4,,,
1974,,,,Feb 01,38,9.8,Mar 01,40,11.3,Mar 29,27,10.1,Apr 30,16,6.1,,,
1975,Jan 02,18,3.9,Jan 31,31,7.0,Feb 26,38,9.9,Apr 03,46,14.0,Apr 28,32,10.4,,,
1976,Dec 30,13,2.5,Jan 29,20,4.7,Feb 26,29,7.4,Mar 30,28,7.5,Apr 29,6,2.2,,,
1977,Dec 29,4,0.3,Jan 26,9,1.6,Feb 23,13,2.8,Apr 01,11,3.2,Apr 25,0,0.0,May 31,0,0.0
1978,Dec 29,19,5.0,Jan 25,36,9.0,Feb 28,49,12.8,Mar 30,35,15.2,Apr 26,19,9.5,May 30,0,0.0
1979,Dec 26,21,5.0,Jan 30,34,7.8,Feb 28,42,12.4,Apr 05,41,13.2,Apr 25,19,8.0,,,
1980,Dec 29,15,2.9,Feb 01,40,8.5,Feb 28,54,13.8,Mar 28,58,17.2,May 02,26,10.6,May 28,0,0.0
1981,Dec 28,3,0.4,Jan 27,3,0.5,Feb 25,8,1.8,Mar 29,15,4.3,Apr 26,0,0.0,May 29,0,0.0
1982,,,,Jan 28,36,9.7,Feb 26,40,12.7,Mar 31,46,14.6,Apr 28,26,10.0,May 26,0,0.0
1983,Dec 28,31,6.4,Jan 27,37,8.3,Feb 22,42,11.4,Mar 28,51,15.0,Apr 25,39,14.9,May 25,13,4.7
1984,Jan 05,41,12.1,Jan 30,38,12.1,Feb 27,48,15.4,Mar 29,47,17.1,Apr 25,34,13.3,May 27,0,0.0
1985,Dec 30,34,8.6,Jan 26,32,9.3,Feb 24,37,11.1,Mar 29,38,9.7,Apr 27,5,1.9,May 29,0,0.0
1986,Dec 28,21,5.3,Mar 01,,6.9,Feb 23,44,12.7,Mar 26,28,10.8,Apr 24,13,5.5,,,
1987,Dec 28,5,0.7,Mar 01,,3.1,Feb 27,32,6.2,Mar 25,28,6.7,Apr 24,1,0.1,Nov 01,0,0.0
1988,Jan 02,16,2.1,Mar 01,,7.7,Feb 23,28,6.6,Mar 29,27,8.1,Apr 26,7,1.9,,,
1989,Dec 30,26,4.8,Mar 01,,6.6,Feb 25,31,7.4,Mar 28,19,7.3,Apr 27,1,0.1,Nov 01,,0.0
1990,Dec 28,13,2.7,Mar 01,,3.7,Feb 24,35,7.5,Mar 27,21,6.4,Apr 26,0,0.0,Nov 01,,0.0
1991,Jan 01,,1.3,Mar 01,,3.1,Feb 25,20,3.9,Mar 30,33,8.8,Apr 30,24,6.3,,,
1992,Jan 01,,2.2,Mar 01,,2.7,Feb 26,27,6.1,Mar 29,22,6.6,Apr 27,0,0.0,,,
1993,,,,,,,Feb 24,56,13.4,Mar 27,35,12.5,Apr 25,22,9.2,,,
1994,,,,,,,Feb 24,32,6.3,Mar 28,21,6.8,Apr 30,2,0.5,,,
1995,,,,,,,Feb 24,30,8.7,Mar 27,28,8.9,Apr 28,20,6.9,,,
1996,,,,,,,Feb 28,38,10.7,Mar 27,41,13.1,Apr 26,22,9.0,,,
1997,,,,,,,Mar 01,56,13.9,Mar 26,30,12.0,Apr 27,15,6.3,,,
1998,,,,,,,Feb 28,42,9.9,Mar 31,29,9.4,Apr 27,17,7.4,,,
1999,,,,,,,Feb 24,24,5.9,Mar 28,12,4.2,Apr 27,5,1.3,,,
2000,,,,,,,Feb 26,36,9.3,Mar 29,28,10.0,Apr 26,0,0.0,,,
2001,,,,,,,Feb 25,30,6.1,Mar 27,18,6.5,Apr 26,1,0.2,,,
2002,,,,,,,Feb 25,24,4.9,Mar 28,23,5.2,Apr 26,0,0.0,,,
2003,,,,,,,Feb 28,33,7.1,Mar 29,29,9.0,Apr 26,3,0.7,,,
2004,,,,,,,Feb 25,38,10.5,Mar 28,15,5.7,Apr 26,0,0.0,,,
2005,,,,,,,Feb 27,35,9.1,Mar 27,31,10.1,Apr 27,10,4.0,,,
2006,,,,,,,Feb 24,38,10.6,Mar 27,46,13.6,Apr 26,26,9.8,,,
2007,,,,,,,Feb 25,21,4.5,Mar 30,7,1.3,Apr 26,0,0.0,,,
2008,,,,,,,Feb 26,46,13.2,Mar 27,35,12.4,Apr 26,18,7.5,,,
2009,,,,,,,Feb 24,24,6.5,Mar 28,24,6.2,Apr 27,10,2.9,,,
2010,,,,,,,Feb 27,27,6.2,Mar 27,32,9.4,Apr 27,9,3.3,,,
2011,,,,,,,Feb 28,40,10.2,Mar 27,41,11.4,Apr 28,21,7.8,,,
2012,,,,,,,Feb 27,19,4.1,Mar 27,10,3.0,May 01,0,0.0,,,
2013,,,,,,,Feb 27,27,6.2,Mar 29,17,5.9,,,,,,
2014,,,,,,,Feb 24,24,6.0,Mar 27,29,6.6,,,,,,
2015,,,,,,,Feb 24,23,6.8,,,,,,,,,
2016,,,,,,,Feb 28,26,6.7,Mar 28,17,6.2,,,,,,
2017,,,,,,,Feb 25,41,13.6,Mar 29,26,10.0,,,,,,
2018,,,,Jan 26,14,2.0,Feb 26,17,4.1,,,,,,,,,
2019,,,,,,,Feb 25,41,10.7,Mar 28,45,14.9,,,,,,
2020,,,,,,,,,,,,,,,,,,
