#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11K31: Buck Flat, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Buck Flat (11K31) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 9800 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:40 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1956,,,,Feb 08,43,12.1,Mar 04,51,15.5,Apr 06,48,14.8,May 02,32,12.3,,,
1957,,,,Feb 01,42,10.5,Mar 01,49,14.7,Mar 29,57,20.2,Apr 30,67,26.3,May 31,38,17.3
1958,Jan 07,35,9.4,Jan 29,43,11.4,Mar 07,61,17.2,Apr 02,78,24.3,May 01,60,24.1,,,
1959,,,,Jan 28,19,3.6,Feb 24,48,10.0,Mar 24,36,11.0,Apr 28,23,8.4,,,
1960,,,,Jan 28,25,4.4,Feb 28,61,13.4,Mar 30,46,15.8,Apr 25,30,11.4,,,
1961,,,,Jan 27,21,4.6,Feb 24,29,5.7,Mar 27,56,12.3,Apr 24,35,11.8,,,
1962,,,,Jan 26,46,12.9,Feb 23,70,17.2,Mar 26,66,22.2,Apr 23,46,18.0,May 29,0,0.0
1963,,,,Feb 02,33,9.6,Feb 25,32,10.9,Mar 25,46,16.0,Apr 25,43,16.8,,,
1964,,,,Jan 30,22,4.6,Feb 25,28,6.4,Mar 26,49,10.0,Apr 27,40,13.3,May 26,6,1.7
1965,,,,Jan 26,60,16.8,Feb 23,57,19.3,Mar 26,74,21.2,Apr 26,62,24.3,May 26,39,16.0
1966,,,,Jan 26,31,7.4,Feb 23,39,10.5,Mar 28,35,10.6,Apr 26,12,4.8,,,
1967,,,,Jan 26,44,10.1,Feb 25,37,11.9,Mar 28,35,12.1,Apr 24,43,14.9,,,
1968,,,,Jan 25,23,6.8,Feb 26,44,12.7,Mar 25,46,15.8,Apr 25,52,19.4,May 28,13,5.3
1969,,,,Jan 28,54,13.2,Mar 02,72,20.8,Mar 24,65,23.1,Apr 27,44,20.2,May 28,0,0.0
1970,,,,Feb 02,51,12.9,Feb 26,46,14.1,Mar 27,58,18.2,Apr 28,59,20.2,May 27,2,0.6
1971,Dec 29,44,11.1,Jan 28,37,12.3,Mar 03,57,17.2,Mar 29,51,17.3,Apr 28,40,15.1,May 31,0,0.0
1972,Dec 27,40,10.8,Jan 27,46,12.9,Feb 25,49,14.7,Mar 29,34,12.6,Apr 25,21,8.0,May 26,0,0.0
1973,Dec 29,33,8.2,Jan 29,41,11.0,Mar 01,47,13.8,Mar 26,60,17.0,Apr 25,57,20.3,May 30,0,0.0
1974,Dec 28,33,6.2,Jan 30,52,15.1,Feb 27,54,17.2,Mar 27,47,18.5,Apr 26,52,20.2,May 30,0,0.0
1975,Dec 26,26,5.9,Jan 28,39,10.9,Feb 25,50,15.1,Mar 26,65,19.2,Apr 25,61,22.3,May 28,35,13.6
1976,Dec 31,17,3.7,Jan 30,25,6.8,Feb 27,32,9.2,Mar 31,36,10.6,Apr 30,30,11.3,May 28,0,0.0
1977,Dec 28,4,0.5,Jan 26,14,2.9,Mar 03,25,5.6,Apr 01,27,8.3,Apr 25,0,0.0,May 31,0,0.0
1978,Jan 03,30,8.0,Jan 25,46,12.9,Mar 06,77,22.7,Mar 28,62,24.4,Apr 26,54,26.4,May 30,21,11.4
1979,Dec 27,27,7.2,Feb 02,55,14.4,Feb 28,59,17.6,Apr 05,70,23.0,Apr 25,50,19.9,Jun 01,0,0.0
1980,Dec 28,24,5.4,Feb 01,51,12.8,Feb 27,73,26.3,Mar 26,82,25.6,May 02,54,23.9,May 28,37,17.0
1981,Dec 28,8,1.2,Jan 27,11,1.6,Feb 25,19,5.1,Mar 29,36,9.8,Apr 26,15,4.6,May 29,0,0.0
1982,,,,Jan 28,52,15.2,Feb 25,59,20.1,Mar 30,82,28.2,Apr 27,56,24.2,May 26,20,9.4
1983,Dec 29,42,12.1,Jan 28,59,15.5,Feb 23,60,17.7,Mar 29,84,26.8,Apr 25,71,29.6,May 25,57,27.7
1984,Jan 04,59,19.0,Jan 30,53,19.7,Feb 26,64,22.8,Mar 28,75,28.3,Apr 25,70,30.2,May 26,17,9.1
1985,Dec 30,41,11.7,Jan 27,44,12.2,Feb 24,48,14.2,Mar 29,59,17.3,Apr 26,34,11.2,May 29,0,0.0
1986,Dec 28,32,10.0,Mar 01,,12.1,Feb 22,65,18.5,Mar 26,53,20.3,Apr 24,49,22.0,Nov 01,,2.6
1987,Dec 28,12,2.5,Mar 01,,5.0,Feb 26,42,9.0,Mar 24,46,12.1,Apr 24,26,9.6,Nov 01,0,0.0
1988,Jan 01,28,5.3,Mar 01,,8.5,Feb 23,35,10.4,Mar 29,40,11.7,Apr 26,34,11.8,,,
1989,Dec 30,36,7.9,Mar 01,,10.2,Feb 25,41,11.6,Mar 28,38,14.3,Apr 28,4,1.2,Nov 01,,0.0
1990,,,,,,,,,,,,,,,,,,
