#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11K32: Wrigley Creek, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Wrigley Creek (11K32) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 9162 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:07 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1955,,,,,,,,,,Apr 07,40,12.2,May 02,10,3.2,,,
1956,,,,Feb 08,35,8.5,Mar 04,40,11.0,Apr 06,28,8.8,May 02,0,0.0,,,
1957,,,,Feb 01,30,6.4,Mar 01,36,9.4,Mar 29,38,11.6,Apr 30,40,12.7,,,
1958,Jan 07,28,6.6,Jan 29,35,8.4,Mar 07,46,11.7,Apr 02,59,16.4,May 01,38,12.2,,,
1959,,,,Jan 28,15,2.5,Feb 24,37,7.4,Mar 24,28,7.8,Apr 28,5,1.3,,,
1960,,,,Jan 28,25,4.6,Feb 28,43,9.9,Mar 30,38,11.8,Apr 25,17,4.5,,,
1961,,,,Jan 27,19,3.9,Feb 24,24,4.7,Mar 27,35,7.3,Apr 24,22,6.5,,,
1962,,,,Jan 26,39,8.8,Feb 23,56,13.5,Mar 26,53,16.3,Apr 23,27,9.3,,,
1963,,,,Feb 02,16,4.3,Feb 25,18,5.0,Mar 25,27,7.8,Apr 25,20,6.9,,,
1964,,,,Jan 30,14,1.9,Feb 25,16,2.6,Mar 26,27,5.4,Apr 27,21,6.1,,,
1965,,,,Jan 26,45,10.9,Feb 23,44,13.0,Mar 26,57,14.2,Apr 26,47,15.6,,,
1966,,,,Jan 26,28,6.5,Feb 23,35,9.3,Mar 28,33,8.5,Apr 26,2,0.8,,,
1967,,,,Jan 26,37,7.7,Feb 25,29,8.2,Mar 28,26,7.9,Apr 24,26,8.6,,,
1968,,,,Jan 25,22,5.3,Feb 26,36,9.7,Mar 25,39,11.9,Apr 25,35,12.1,,,
1969,,,,Jan 28,44,9.1,Mar 02,58,15.4,Mar 24,51,16.9,Apr 27,26,11.3,,,
