#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12J03: Middle Canyon, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Middle Canyon (12J03) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 6960 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:13 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1954,,,,Feb 05,27,9.7,Mar 08,30,10.0,Apr 01,40,14.6,Apr 28,0,0.0,,,
1955,,,,Jan 27,30,8.0,Feb 25,45,11.8,Mar 29,39,13.4,Apr 28,24,9.2,,,
1956,,,,Feb 02,25,7.2,Feb 28,36,9.6,Apr 03,29,8.5,Apr 26,0,0.0,,,
1957,Dec 27,23,5.9,Jan 31,33,8.3,Feb 28,29,9.7,Mar 29,34,12.3,Apr 30,37,16.0,,,
1958,Dec 30,26,6.7,Jan 29,33,8.8,Mar 03,43,13.1,Mar 31,51,17.2,May 01,31,14.2,,,
1959,Dec 31,10,2.6,Jan 27,25,5.9,Feb 25,36,10.5,Mar 30,31,11.5,Apr 27,1,0.6,,,
1960,Dec 30,14,2.3,Jan 29,21,5.0,Feb 26,47,12.1,Mar 29,32,12.5,Apr 29,1,0.4,,,
1961,Dec 28,21,6.4,Jan 30,21,6.3,Feb 23,35,8.9,Mar 27,39,12.6,Apr 27,16,6.1,,,
1962,Dec 27,24,6.4,Jan 26,32,8.8,Feb 23,40,10.3,Mar 28,42,15.5,Apr 25,9,2.8,,,
1963,Dec 27,6,1.6,Jan 30,14,3.7,Feb 26,6,2.0,Mar 27,14,5.0,Apr 29,12,3.9,,,
1964,Dec 27,18,3.8,Jan 29,30,8.1,Feb 26,42,10.8,Mar 26,59,18.0,Apr 28,41,17.0,,,
1965,Dec 30,31,8.2,Jan 29,34,11.4,Feb 26,43,14.6,Mar 25,44,15.2,Apr 30,15,6.7,May 27,0,0.0
1966,Jan 03,18,4.5,Jan 28,23,6.2,Feb 28,33,9.8,Mar 29,21,8.0,Apr 29,0,0.0,,,
1967,Jan 03,18,4.1,Jan 30,27,6.9,Mar 01,28,8.4,Mar 30,29,7.8,Apr 28,16,7.3,,,
1968,Dec 27,20,5.3,Jan 30,26,7.8,Feb 29,28,10.3,Mar 27,34,13.8,Apr 26,34,14.0,,,
1969,Dec 30,25,6.7,Jan 31,42,12.0,Feb 27,61,18.7,Mar 28,55,21.3,Apr 25,32,13.0,,,
1970,Dec 30,26,7.6,Jan 30,22,7.7,Feb 27,28,10.4,Mar 31,35,13.2,Apr 30,38,13.3,May 28,0,0.0
1971,Dec 29,34,10.8,Jan 29,27,10.0,Feb 26,46,15.3,Mar 31,44,17.4,Apr 29,26,12.1,May 28,0,0.0
1972,Dec 22,28,8.1,Jan 24,32,10.9,Feb 23,34,12.1,Mar 27,19,7.6,Apr 24,5,2.5,May 26,0,0.0
1973,,,,Feb 01,52,16.5,Mar 02,53,18.5,Apr 02,77,25.2,Apr 30,54,24.2,May 31,0,0.0
1974,Jan 02,34,8.4,Jan 30,38,11.8,Feb 28,45,17.2,Apr 01,30,12.4,Apr 26,34,16.4,May 30,0,0.0
1975,Dec 30,23,5.8,Jan 31,36,10.0,Mar 01,38,13.3,Apr 01,57,19.0,May 06,51,20.2,May 28,12,5.3
1976,Dec 29,25,7.8,Jan 31,31,9.8,Feb 28,35,12.4,Mar 28,47,14.8,Apr 30,13,5.6,May 25,0,0.0
1977,Dec 29,8,1.8,Jan 26,14,3.6,Feb 28,21,5.6,Mar 28,33,11.0,Apr 30,0,0.0,May 26,0,0.0
1978,Dec 29,6,2.0,Jan 28,28,6.2,Feb 25,33,11.0,Mar 31,28,12.4,Apr 29,11,5.2,May 31,0,0.0
1979,Dec 28,26,7.4,Jan 26,36,9.5,Feb 27,44,14.4,Mar 31,52,16.0,Apr 28,26,11.7,May 31,0,0.0
1980,Dec 28,14,4.4,Jan 31,30,7.2,Feb 29,33,10.4,Mar 29,43,17.6,Apr 29,15,7.0,May 30,0,0.0
1981,Dec 30,13,3.1,Jan 25,17,4.0,Feb 27,27,7.4,Mar 27,38,11.2,Apr 30,0,0.0,May 28,0,0.0
1982,Dec 31,26,5.0,Jan 29,31,9.2,Mar 01,25,9.2,Mar 27,35,14.3,May 01,14,6.4,,,
1983,Dec 31,38,9.5,Jan 30,46,12.5,Feb 27,54,15.1,Mar 26,76,18.2,May 01,54,23.4,Jun 06,1,0.5
1984,Jan 01,49,10.9,,,,,,,Apr 03,81,28.3,Apr 30,78,30.7,,,
1985,,,,,,,Feb 27,47,13.9,Mar 30,57,19.2,Apr 30,2,0.9,,,
1986,Jan 02,27,6.7,Feb 03,31,8.9,Feb 27,25,9.3,Mar 31,18,6.9,Apr 30,11,4.1,,,
1987,Dec 31,18,4.8,Feb 02,33,8.8,Mar 02,44,13.4,Apr 01,49,17.0,Apr 30,0,0.0,,,
1988,,,,,,,Feb 29,26,8.0,Apr 01,36,12.0,Apr 29,0,0.0,,,
1989,,,,,,,Mar 01,35,11.7,Mar 30,23,8.7,Apr 25,0,0.0,Nov 01,,0.0
1990,,,,,,,Feb 27,38,11.3,Mar 26,31,12.0,Apr 26,0,0.0,Nov 01,,0.0
1991,Jan 01,,3.3,Mar 01,,4.9,Mar 06,28,8.7,Mar 26,32,9.8,Apr 30,35,12.0,,,
1992,Jan 01,,4.4,Mar 01,,5.4,Feb 26,37,10.8,Mar 27,24,8.7,Apr 24,0,0.0,,,
