#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13M02: Long Flat, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Long Flat (13M02) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 8000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:04 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1955,,,,,,,Feb 17,23,6.1,Mar 23,18,7.7,Apr 25,0,0.0,,,
1956,,,,,,,Feb 27,12,2.9,,,,,,,,,
1957,,,,,,,Mar 01,4,1.4,Mar 29,0,0.0,May 01,0,0.0,,,
1958,,,,,,,Feb 26,18,4.8,Mar 27,28,11.6,,,,,,
1959,,,,,,,Feb 26,20,5.1,Mar 26,6,2.1,Apr 28,0,0.0,,,
1960,,,,,,,Feb 26,30,7.2,Mar 28,10,3.1,Apr 27,0,0.0,,,
1961,,,,,,,Feb 28,5,1.8,Mar 30,18,5.5,Apr 25,0,0.0,,,
1962,,,,,,,Feb 28,27,6.3,Mar 29,26,9.8,Apr 30,0,0.0,,,
1963,,,,,,,Feb 27,4,1.0,Mar 29,6,0.3,Apr 26,6,0.8,May 28,0,0.0
1964,,,,,,,Feb 27,8,1.6,Apr 01,16,5.1,May 01,0,0.0,May 28,0,0.0
1965,,,,,,,Feb 25,22,7.1,Apr 01,25,8.0,Apr 30,8,4.2,May 28,0,0.0
1966,,,,,,,Mar 01,31,7.6,Mar 31,4,1.0,Apr 27,0,0.0,Jun 03,0,0.0
1967,Dec 30,12,1.5,,,,Mar 02,11,2.8,Mar 31,5,1.0,Apr 28,0,0.0,May 25,0,0.0
1968,,,,,,,Feb 28,20,7.5,Mar 28,18,7.8,Apr 26,0,0.0,May 29,0,0.0
1969,,,,,,,Feb 27,39,11.0,Mar 26,38,14.0,Apr 30,0,0.0,May 27,0,0.0
1970,,,,,,,Mar 03,17,3.6,Mar 30,11,3.2,Apr 30,3,0.8,May 27,0,0.0
1971,,,,,,,Feb 26,17,4.0,Mar 30,0,0.0,Apr 28,0,0.0,Jun 01,0,0.0
