#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 17B07: Round Top Mtn, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Round Top Mtn (17B07) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 4020 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2003,,,,Jan 29,13,5.3,Feb 26,19,6.3,Mar 31,1,0.5,Apr 30,0,0.0,,,
2004,,,,Jan 30,38,11.0,Feb 24,39,13.1,Mar 29,22,9.7,Apr 28,0,0.0,,,
2005,,,,Jan 28,0,0.0,Mar 01,0,0.0,Apr 01,4,0.8,Apr 28,0,0.0,,,
2006,,,,Jan 27,37,10.9,Feb 24,39,12.2,Mar 31,36,14.4,Apr 26,10,4.2,,,
2007,,,,Jan 29,35,9.6,Feb 28,53,14.0,Mar 28,16,6.5,Apr 26,0,0.0,,,
2008,,,,,,,Feb 27,62,20.4,Mar 27,68,26.5,Apr 28,61,27.6,,,
2009,,,,,,11.7,,,12.8,,,16.8,,,7.0,,,
2010,,,,,19,5.8,,22,8.0,,18,5.8,,4,1.0,,,
2011,,,,Jan 26,30,9.4,Feb 23,39,12.2,Mar 31,46,16.3,May 02,48,17.6,,,
2012,,,,Jan 27,25,5.6,Feb 23,38,10.2,Mar 29,51,17.0,Apr 27,10,3.9,,,
2013,,,,Jan 31,36,9.8,Feb 27,44,12.3,Mar 26,30,11.6,Apr 30,0,0.0,,,
2014,,,,Feb 01,33,6.8,Mar 02,44,11.3,Mar 28,30,9.4,,,,,,
2015,,,,Jan 26,16,5.0,Feb 24,2,0.8,Mar 27,0,0.0,,,,,,
2016,,,,Jan 31,42,12.8,Feb 23,35,12.7,Mar 28,36,12.4,,,,,,
2017,,,,Jan 27,35,8.5,Feb 24,42,11.9,Mar 30,29,11.0,,,,,,
2018,,,,Jan 26,41,9.4,Feb 22,47,11.7,Mar 26,44,14.8,Apr 27,28,11.6,,,
2019,,,,,,,Mar 01,47,12.6,,,,,,,,,
2020,,,,Jan 27,45,11.6,Feb 24,49,15.3,,,,,,,,,
2021,,,,Jan 25,37,11.2,Feb 22,50,13.8,Mar 29,42,14.8,,,,,,
2022,,,,Jan 24,33,10.2,Feb 22,31,10.1,Mar 28,26,10.3,Apr 28,15,6.6,,,
2023,,,,,40,,Feb 27,51,15.2,Mar 27,52,18.6,,,,,,
2024,,,,,,,,,,,,,,,,,,
