#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18A04: Goat Creek, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Goat Creek (18A04) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 3600 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,Dec 29,18,5.0,Jan 31,20,4.9,Mar 01,29,8.2,Mar 29,20,7.4,Apr 27,0,0.0,,,
1962,Dec 28,20,3.9,Jan 29,27,7.0,Feb 26,31,9.1,Mar 29,30,10.5,Apr 27,0,0.0,,,
1963,Dec 28,4,1.8,Jan 28,7,0.8,Feb 25,0,0.0,Mar 28,0,0.0,Apr 29,0,0.0,,,
1964,Dec 27,16,3.3,Jan 27,26,5.5,Feb 26,19,6.0,Mar 27,22,7.6,Apr 27,0,0.0,,,
1965,Dec 28,25,4.7,Jan 26,32,8.2,Feb 26,26,8.7,Mar 29,17,6.1,Apr 26,0,0.0,,,
1966,Jan 03,24,3.5,Jan 27,21,5.5,Feb 25,23,6.6,Mar 29,14,5.6,Apr 26,0,0.0,,,
1967,Dec 28,11,2.4,Jan 27,21,5.0,Feb 24,20,5.4,Mar 30,19,6.1,Apr 25,0,0.0,,,
1968,Dec 27,21,4.6,Jan 29,28,6.0,Feb 26,17,6.2,Mar 27,0,0.0,Apr 29,0,0.0,,,
1969,Jan 02,28,6.4,Jan 27,40,8.8,Feb 24,43,11.8,Mar 24,29,10.8,Apr 25,0,0.0,,,
1970,Dec 23,17,3.4,Jan 26,27,6.0,Feb 24,20,6.9,Mar 26,13,5.4,Apr 26,0,0.0,,,
1971,,,,,,,,,,,,,,,,,,
1972,Dec 23,25,3.6,Jan 25,27,7.0,Feb 24,26,7.0,Mar 29,5,1.7,Apr 25,0,0.0,,,
1973,Dec 27,12,2.1,Jan 29,20,4.0,Feb 26,20,4.9,Mar 27,9,2.8,Apr 26,0,0.0,,,
1974,Jan 01,,4.5,Jan 30,26,6.7,Feb 27,32,8.7,Mar 29,27,8.9,Apr 29,0,0.0,,,
1975,Dec 31,19,3.9,Jan 30,26,5.9,Feb 27,31,8.9,Mar 27,31,9.0,Apr 28,0,0.0,,,
1976,Dec 29,15,2.5,Jan 29,18,4.8,Feb 26,23,5.3,Mar 29,25,7.8,Apr 28,0,0.0,,,
1977,Dec 30,8,1.3,Jan 31,12,2.0,Feb 28,12,2.9,Mar 31,6,1.8,Apr 29,0,0.0,,,
1978,Dec 27,17,4.4,Jan 25,27,7.3,Feb 24,27,8.2,Mar 28,14,5.4,Apr 24,0,0.0,,,
1979,Dec 28,10,1.5,Jan 29,14,2.5,Feb 26,24,5.4,Mar 28,3,0.8,Apr 30,0,0.0,,,
1980,Jan 02,10,2.1,Jan 28,17,3.8,Feb 26,22,6.0,Mar 24,18,6.5,Apr 28,0,0.0,,,
1981,Dec 22,16,3.5,Jan 29,15,3.7,Feb 26,14,4.6,Mar 26,2,1.1,Apr 28,0,0.0,,,
1982,Jan 04,21,3.1,Jan 27,29,6.2,Feb 26,22,6.4,Mar 30,16,4.0,Sep 01,,0.0,,,
1983,Jan 01,,4.5,Mar 01,,7.1,May 01,,9.1,Jul 01,,0.8,Sep 01,,0.0,,,
1984,Jan 01,,4.2,Jan 28,26,4.9,Feb 26,30,8.1,Mar 31,1,0.1,Sep 01,,0.0,,,
1985,Jan 01,,4.2,Jan 27,22,6.3,Feb 27,23,4.3,Mar 31,21,4.6,Sep 01,,0.0,,,
1986,,,,Jan 30,25,5.4,Feb 26,25,6.4,Mar 27,0,0.0,,,,,,
1987,,,,Jan 27,19,4.2,Feb 26,17,5.2,Mar 26,4,1.2,,,,,,
1988,,,,Jan 29,20,4.7,Feb 26,16,4.4,Mar 29,16,1.6,,,,,,
1989,,,,Jan 30,17,4.1,Mar 01,30,6.2,Mar 30,23,6.4,,,,,,
1990,,,,Feb 02,16,2.9,Feb 27,14,4.4,Apr 01,2,0.8,,,,,,
1991,,,,Jan 31,19,4.3,Mar 06,16,3.3,Mar 28,10,2.9,,,,,,
1992,,,,Jan 30,17,4.4,Feb 27,14,4.6,Mar 26,0,0.0,,,,,,
1993,,,,Jan 27,25,5.8,Feb 24,30,6.6,Mar 23,19,5.1,,,,,,
1994,,,,Jan 31,16,4.6,Feb 24,26,5.9,Mar 29,3,0.9,,,,,,
1995,,,,Jan 30,26,6.5,Feb 28,16,4.7,Mar 28,13,4.2,,,,,,
1996,,,,Jan 29,23,4.7,Feb 26,24,6.3,Mar 28,7,2.1,,,,,,
