#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18A08: Cabin Creek (Disc), WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cabin Creek (disc) (18A08) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 3170 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:07 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,Dec 29,20,5.3,Jan 31,23,5.7,Mar 01,34,8.7,Mar 29,29,10.5,Apr 27,0,0.0,,,
1962,Dec 28,22,4.7,Jan 29,28,7.2,Feb 27,31,9.5,Mar 29,34,12.5,Apr 27,0,0.0,,,
1963,Dec 28,4,1.8,Jan 28,8,1.2,Feb 25,10,2.0,Mar 28,4,1.5,Apr 29,0,0.0,,,
1964,Dec 27,16,4.1,Jan 27,26,5.6,Feb 26,25,7.1,Mar 27,28,8.8,Apr 27,0,0.0,,,
1965,Dec 28,25,5.1,Jan 26,35,9.4,Feb 26,31,10.4,Mar 29,30,10.5,Apr 26,0,0.0,,,
1966,Jan 03,24,3.5,Jan 27,22,5.6,Feb 25,25,6.7,Mar 29,25,7.8,Apr 26,0,0.0,,,
1967,Dec 28,12,3.3,Jan 27,22,5.3,Feb 24,24,6.5,Mar 30,26,8.0,Apr 25,8,2.7,,,
1968,Dec 27,21,4.3,Jan 29,29,6.3,Feb 26,24,7.9,Mar 27,21,7.5,Apr 29,0,0.0,,,
1969,Jan 02,30,6.2,Jan 27,42,9.2,Feb 24,48,12.5,Mar 24,41,14.3,Apr 25,9,3.0,,,
1970,Dec 23,17,3.7,Jan 26,26,5.3,Feb 24,26,7.7,Mar 26,25,8.7,Apr 26,11,3.5,,,
1971,Dec 28,26,6.0,Jan 25,31,8.8,Feb 23,31,8.7,Mar 25,36,11.3,Apr 26,14,6.3,,,
1972,Dec 23,25,4.3,Jan 25,29,7.2,Feb 24,31,8.7,Mar 29,19,6.8,Apr 25,6,2.0,,,
1973,Dec 27,0,0.0,Jan 29,18,3.7,Feb 26,22,5.7,Mar 27,17,5.0,Apr 26,0,0.0,,,
