#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18A09: Carlson (Disc), WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Carlson (disc) (18A09) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 2885 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:02:34 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1962,,,,Feb 02,21,4.8,Mar 01,20,6.2,Apr 04,8,2.2,,,,,,
1963,,,,Jan 30,0,0.0,Feb 27,0,0.0,Mar 29,0,0.0,,,,,,
1964,,,,Jan 30,26,5.0,Feb 25,25,6.5,Mar 31,18,5.7,,,,,,
1965,,,,Jan 27,26,6.6,Feb 23,22,7.7,Mar 29,12,5.4,,,,,,
1966,,,,Jan 31,20,5.1,Feb 23,20,5.2,Mar 29,4,1.4,,,,,,
1967,,,,Jan 26,10,2.3,Feb 23,3,0.8,Mar 28,0,0.0,,,,,,
1968,,,,Jan 30,18,4.2,Feb 27,2,0.6,Mar 28,0,0.0,,,,,,
1969,,,,Feb 01,37,7.8,Mar 02,34,9.9,Mar 30,16,5.6,,,,,,
1970,,,,Feb 01,22,4.2,Mar 01,19,5.0,Mar 28,8,2.4,,,,,,
1971,,,,Jan 30,15,6.0,Feb 28,17,4.2,Mar 28,17,6.0,,,,,,
1972,,,,Jan 29,16,3.7,Feb 26,15,4.6,Apr 01,0,0.0,,,,,,
1973,,,,Jan 27,7,1.0,Feb 24,8,2.3,Mar 29,0,0.0,,,,,,
1974,,,,Feb 01,3,0.7,Mar 02,11,2.4,Mar 30,0,0.0,,,,,,
1975,,,,Feb 02,26,5.6,Mar 01,29,9.6,Mar 29,26,9.6,,,,,,
1976,,,,Jan 31,9,2.6,Feb 29,19,4.9,Mar 28,10,2.6,,,,,,
1977,,,,Jan 29,7,0.6,Feb 26,0,0.0,Apr 02,0,0.0,,,,,,
1978,,,,Jan 28,18,4.1,Feb 25,15,5.0,Apr 01,0,0.0,,,,,,
1979,,,,Jan 28,19,4.0,Feb 25,19,5.3,Mar 31,0,0.0,,,,,,
1980,,,,Feb 02,18,2.7,Mar 01,8,2.6,Mar 29,0,0.0,,,,,,
1981,,,,Jan 31,0,0.0,Feb 28,0,0.0,Mar 28,0,0.0,,,,,,
1982,,,,Jan 30,17,4.2,Feb 27,0,0.0,Mar 28,0,0.0,,,,,,
1983,,,,,,,,,,,,,,,,,,
