#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18A23: Chamokane 2, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Chamokane 2 (18A23) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 3550 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Apr 19, 2021 10:31:36 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2007,Dec 29,22,4.6,Jan 26,21,5.0,Feb 28,32,7.2,Mar 28,1,0.5,,,,,,
2008,Jan 02,21,5.6,Jan 30,32,7.5,Feb 26,28,9.4,Mar 28,26,7.9,,,,,,
2009,,,6.0,,,5.7,,,5.7,,,,,,,,,
2010,,9,2.6,,11,3.3,,9,3.5,,0,0.0,,,,,,
2011,,,,Jan 27,17,5.2,Feb 23,19,5.6,Mar 31,13,4.3,,,,,,
2012,Dec 31,14,3.5,Feb 01,25,5.6,Feb 29,31,8.0,Mar 29,28,9.8,,,,,,
2013,Jan 02,27,6.8,Jan 30,27,7.1,Feb 28,25,7.8,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2015,Jan 02,2,0.2,Jan 28,10,2.4,,,,Apr 01,0,0.0,,,,,,
2016,Jan 05,18,3.3,,,,,,,,,,,,,,,
2017,,,,Jan 31,25,6.2,Feb 26,32,8.8,Mar 31,0,0.0,,,,,,
2018,,,,,,,,,,,,,,,,,,
2019,Dec 30,12,2.5,Jan 30,20,4.4,Feb 27,28,6.9,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,
2021,,,,Jan 31,29,6.6,,,,,,,,,,,,
