#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 19A18: Cold Creek Strip, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cold Creek Strip (19A18) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 6020 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:37 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1996,,,,Jan 29,32,7.4,Feb 29,39,10.1,Mar 28,36,11.0,,,,,,
1997,,,,Jan 31,39,10.7,Feb 28,39,10.7,Apr 02,41,12.9,,,,,,
1998,,,,Jan 28,26,5.2,Feb 27,40,10.0,Mar 27,33,10.2,,,,,,
1999,,,,Jan 29,36,8.7,Mar 04,56,14.6,Mar 29,52,15.8,,,,,,
2000,,,,Jan 31,21,4.3,Feb 28,28,7.0,Mar 30,31,8.5,,,,,,
2001,,,,Jan 31,24,5.0,Feb 26,25,5.3,Mar 26,26,5.9,,,,,,
2002,,,,Jan 28,26,6.9,Feb 25,30,7.9,Apr 03,33,9.0,,,,,,
2003,,,,Jan 27,25,6.2,Feb 24,31,8.3,Mar 24,33,9.0,,,,,,
2004,,,,Jan 27,24,4.9,Feb 23,25,6.0,Mar 29,27,6.9,,,,,,
2005,,,,Jan 31,15,3.6,Feb 28,16,3.9,Mar 28,21,5.5,,,,,,
2006,,,,Jan 30,36,8.2,Feb 27,40,9.4,Mar 27,51,14.0,,,,,,
2007,Dec 29,30,7.2,Jan 29,29,7.7,Feb 23,32,9.2,,,,,,,,,
2008,Dec 31,20,3.8,Jan 30,29,6.3,Feb 26,30,7.6,Mar 26,30,8.8,,,,,,
2009,,,,,,4.0,,,4.3,,,6.7,,,,,,
2010,,,,,26,6.0,,27,7.0,,30,8.4,,,,,,
2011,,,,Jan 26,23,4.5,Feb 28,31,6.1,Mar 31,52,12.0,,,,,,
2012,,,,Jan 31,26,5.4,Feb 27,28,6.7,Mar 26,38,9.5,,,,,,
2013,,,,Jan 30,39,9.9,Feb 27,36,10.5,Mar 27,36,10.8,,,,,,
2014,,,,,,,Feb 25,32,5.8,Mar 25,28,6.4,,,,,,
2015,,,,Jan 27,20,4.8,Feb 24,22,6.3,Mar 31,18,5.4,,,,,,
2016,,,,Jan 26,37,8.9,Feb 25,37,10.2,Mar 29,45,14.0,,,,,,
2017,,,,Feb 01,29,5.4,Feb 28,34,7.5,Mar 30,40,9.9,,,,,,
2018,,,,Feb 01,34,7.3,,,,Mar 29,56,15.6,,,,,,
2019,,,,,,,Feb 26,22,4.5,Mar 28,22,5.7,,,,,,
2020,,,,Feb 03,29,6.9,Feb 25,35,9.2,,,,,,,,,
2021,,,,Jan 28,29,6.2,Feb 25,36,9.2,Mar 30,32,9.5,,,,,,
2022,,,,Jan 27,26,6.3,Feb 24,27,6.7,Mar 29,25,7.5,,,,,,
2023,,,,Feb 02,33,9.4,Mar 01,37,9.8,Mar 27,40,10.8,,,,,,
2024,,,,,,,,,,,,,,,,,,
