#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 19A20: Browns Pass, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Browns Pass (19A20) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 3940 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:13 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2002,,,,Jan 28,11,2.8,Feb 25,13,3.8,,,,,,,,,
2003,,,,Jan 27,15,4.0,Feb 24,16,4.5,,,,,,,,,
2004,,,,Jan 26,17,3.7,Feb 24,19,3.8,,,,,,,,,
2005,,,,Jan 25,6,1.5,Feb 23,5,1.6,,,,,,,,,
2006,,,,Jan 25,18,4.3,Feb 22,21,5.4,Mar 28,22,6.5,,,,,,
2007,,,,Jan 26,22,5.2,Feb 26,26,6.6,Mar 27,0,0.0,,,,,,
2008,,,,Jan 25,17,3.5,Feb 26,17,4.5,Mar 26,10,3.0,,,,,,
2009,,,,,,2.7,,,5.3,,,4.3,,,,,,
2010,,,,,13,3.5,,13,3.1,,0,0.0,,,,,,
2011,,,,Jan 27,14,2.5,Feb 28,21,3.0,Mar 29,20,6.1,,,,,,
2012,,,,Jan 30,9,2.0,Feb 27,12,2.4,Mar 28,7,2.1,,,,,,
2013,,,,Jan 31,20,5.6,Feb 27,19,4.9,Mar 27,4,1.5,,,,,,
2014,,,,Jan 29,4,0.4,Feb 26,17,3.9,Mar 26,0,0.0,,,,,,
2015,,,,Jan 30,8,1.0,Feb 26,0,0.0,Mar 31,0,0.0,,,,,,
2016,,,,Jan 27,28,6.8,Feb 24,22,6.1,Mar 30,0,0.0,,,,,,
2017,,,,,,,Feb 24,26,6.3,,,,,,,,,
2018,,,,,22,,Feb 27,23,6.5,,,,,,,,,
2019,,,,Jan 29,14,2.3,,,,Mar 26,11,3.9,,,,,,
2020,,,,Jan 30,11,2.0,Feb 24,10,2.3,,,,,,,,,
2021,,,,Jan 27,14,3.3,Feb 22,22,4.9,Mar 30,0,0.0,,,,,,
2022,,,,Jan 28,17,3.8,Feb 24,18,4.8,Mar 29,0,0.0,,,,,,
2023,,,,Jan 30,24,6.9,Feb 28,28,6.1,Mar 28,8,2.7,,,,,,
2024,,,,,,,,,,,,,,,,,,
