#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 20A07: Thunder Basin, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Thunder Basin (20A07) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 4320 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:48 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1948,Dec 31,31,7.2,Feb 01,48,14.5,Feb 28,70,20.8,Apr 02,76,24.6,,,,,,
1949,,,,Jan 31,64,22.8,Feb 27,107,41.0,Apr 03,106,40.8,May 05,95,43.9,,,
1950,,,,Jan 29,65,20.2,Feb 28,74,25.3,Mar 31,88,33.6,Apr 28,85,34.1,,,
1951,,,,,,,,,,Apr 02,73,29.6,,,,,,
1952,,,,,,,,,,Apr 01,69,22.8,,,,,,
1953,,,,,,,,,,Mar 28,68,24.3,,,,,,
1954,,,,,,,Feb 28,105,35.2,Mar 31,105,40.6,Apr 30,100,44.3,,,
1955,,,,,,,Feb 25,57,14.9,Apr 01,72,24.0,Apr 28,70,27.7,,,
1956,,,,,,,Mar 03,103,33.3,Mar 29,102,38.3,Apr 28,81,36.1,,,
1957,,,,,,,Feb 28,65,22.4,Mar 31,75,28.2,Apr 27,66,28.6,,,
1958,,,,,,,Feb 28,52,18.9,Mar 28,51,19.9,Apr 27,59,24.0,,,
1959,,,,,,,Feb 26,60,18.5,Apr 02,77,28.1,May 01,66,25.8,,,
1960,,,,,,,Feb 26,51,14.1,Mar 31,71,19.6,Apr 28,64,24.6,,,
1961,,,,Mar 01,,14.1,Feb 27,75,21.9,Mar 28,71,28.2,Apr 27,62,26.7,,,
1962,,,,Mar 01,,8.0,Feb 26,43,14.8,Mar 28,60,18.7,Apr 30,47,17.8,,,
1963,,,,Mar 01,,6.6,Feb 27,28,8.8,Mar 31,43,12.9,Apr 26,34,14.1,,,
1964,,,,Mar 01,,17.7,Feb 26,70,24.3,Mar 28,89,31.2,Apr 30,78,34.0,,,
1965,,,,Mar 01,,16.2,Mar 01,70,22.8,Mar 30,66,24.5,Apr 30,60,25.5,,,
