#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 20A22: Cloudy Pass AM, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cloudy Pass Am (20A22) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 6500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:32 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1927,,,,,,,,,,Mar 25,107,41.6,,,,,,
1928,,,,,,,,,,Mar 24,112,42.3,,,,,,
1929,,,,,,,,,,Mar 25,62,22.3,,,,,,
1930,,,,,,,,,,Mar 26,98,33.2,,,,,,
1931,,,,,,,,,,Mar 23,80,29.8,,,,,,
1932,,,,,,,,,,,,,,,,,,
1933,,,,,,,,,,,,,,,,,,
1934,,,,,,,,,,,,,,,,,,
1935,,,,,,,,,,,,,,,,,,
1936,,,,,,,,,,Mar 25,101,41.2,,,,,,
1937,,,,,,,,,,Mar 26,91,35.0,,,,,,
1938,,,,,,,,,,Mar 25,131,56.8,,,,,,
1939,,,,,,,,,,Mar 25,104,46.6,,,,,,
1940,,,,,,,,,,Mar 26,100,43.8,,,,,,
1941,,,,,,,,,,Mar 25,78,32.6,,,,,,
1942,,,,,,,,,,Mar 22,94,39.0,,,,,,
1943,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,Mar 20,75,27.8,,,,,,
1945,,,,,,,,,,Mar 20,109,38.2,,,,,,
1946,,,,,,,,,,Mar 21,135,62.5,,,,,,
1947,,,,,,,,,,Mar 22,101,44.9,,,,,,
1948,,,,,,,,,,Mar 23,130,53.5,,,,,,
1949,,,,,,,,,,Mar 22,131,52.0,,,,,,
1950,,,,,,,,,,Mar 21,165,60.2,,,,,,
1951,,,,,,,,,,Mar 23,143,60.0,,,,,,
1952,,,,,,,,,,Mar 21,107,48.5,,,,,,
1953,,,,,,,,,,Mar 22,133,54.0,,,,,,
1954,,,,,,,,,,Mar 21,148,68.1,,,,,,
1955,,,,,,,,,,Mar 21,112,48.7,,,,,,
1956,,,,Jan 29,140,46.9,Mar 02,140,49.0,Mar 20,148,64.5,,,,,,
