#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 20B15: Walters Flat (Disc), WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Walters Flat (disc) (20B15) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 3360 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:15 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,Jan 25,17,4.3,Feb 27,25,7.1,Mar 30,17,5.9,,,,,,
1962,,,,Jan 30,22,7.2,Mar 01,26,8.6,Apr 02,16,6.2,,,,,,
1963,,,,Jan 28,0,0.0,Feb 25,0,0.0,Apr 02,0,0.0,,,,,,
1964,,,,Jan 29,32,6.6,Feb 27,25,7.4,Mar 30,22,6.5,,,,,,
1965,,,,Feb 03,28,8.5,Mar 02,26,8.7,,,,,,,,,
1966,,,,Feb 02,30,8.1,Mar 02,33,9.4,Apr 01,14,6.3,,,,,,
1967,,,,Jan 31,5,1.8,Feb 28,0,0.0,Mar 31,0,0.0,,,,,,
1968,,,,Jan 30,25,6.2,Feb 28,16,6.4,Mar 28,0,0.0,,,,,,
1969,,,,Feb 06,41,8.9,Mar 04,38,11.0,Apr 02,17,6.6,,,,,,
1970,,,,Jan 30,38,8.0,Feb 27,28,9.8,Mar 31,15,6.4,,,,,,
1971,,,,Jan 29,32,9.0,Feb 26,26,8.6,Mar 30,30,11.1,,,,,,
1972,,,,Jan 31,45,13.8,Feb 28,35,13.7,Mar 30,23,11.0,,,,,,
1973,,,,Jan 30,12,3.9,Feb 26,9,3.4,Mar 29,0,0.0,,,,,,
1974,,,,Jan 29,30,9.6,Feb 26,38,11.0,Mar 22,32,10.6,,,,,,
1975,,,,Jan 29,26,7.2,Feb 27,32,9.9,Apr 01,27,10.4,,,,,,
1976,,,,Jan 26,16,5.4,Feb 24,22,7.1,Mar 31,21,7.4,,,,,,
1977,,,,Jan 31,0,0.0,Feb 28,0,0.0,Mar 30,0,0.0,,,,,,
1978,,,,Jan 26,20,6.0,Feb 24,23,7.9,Mar 30,0,0.0,,,,,,
1979,,,,Jan 25,17,3.6,Feb 23,30,7.4,Mar 29,12,4.2,,,,,,
1980,,,,,,,Feb 28,29,8.7,Mar 26,25,9.3,,,,,,
1981,,,,Jan 29,12,3.1,Feb 25,11,4.3,Mar 31,0,0.0,,,,,,
1982,,,,Jan 26,24,5.8,Feb 24,17,6.6,Mar 30,10,4.1,,,,,,
1983,,,,,,,,,,,,,,,,,,
