#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 20B20: Pope Ridge, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Pope Ridge (20B20) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 3540 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:13 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,Feb 01,,11.2,Mar 01,,17.9,Apr 01,,20.1,May 01,,5.4,,,
1962,,,,Feb 01,,11.6,Mar 01,,16.3,Apr 01,,16.1,May 01,,1.8,,,
1963,,,,Feb 01,,5.4,Mar 01,,6.6,Apr 01,,1.8,May 01,,7.2,,,
1964,,,,Feb 01,,13.8,Mar 01,,14.7,Apr 01,,16.9,May 01,,1.8,,,
1965,,,,Feb 01,,14.9,Mar 01,,18.4,Apr 01,,16.4,May 01,,5.0,,,
1966,,,,Jan 31,53,14.4,Feb 24,47,15.5,Mar 28,46,17.2,Apr 28,4,1.7,,,
1967,,,,Jan 26,50,11.4,Feb 28,47,16.0,Mar 28,49,17.7,Apr 28,43,14.4,,,
1968,,,,Jan 29,37,11.0,Feb 29,36,13.4,Mar 27,25,10.5,Apr 30,0,0.0,,,
1969,,,,Jan 30,72,20.5,Feb 27,77,25.6,Mar 25,58,24.6,Apr 28,16,8.0,,,
1970,,,,Jan 28,64,14.5,Feb 25,50,16.8,Mar 26,42,16.3,Apr 28,23,9.4,,,
1971,,,,Jan 28,61,21.8,Feb 24,54,21.6,Mar 30,73,27.8,Apr 30,38,18.5,May 28,0,0.0
1972,,,,Jan 27,71,22.7,Feb 28,67,28.3,Apr 01,55,26.0,Apr 27,31,16.2,,,
1973,,,,Jan 30,39,11.5,Feb 26,36,11.7,Mar 29,24,9.3,Apr 30,0,0.0,,,
1974,,,,Feb 01,86,24.0,Feb 26,80,25.9,Mar 27,74,28.3,Apr 26,43,20.0,,,
1975,,,,Jan 27,50,16.5,Feb 24,71,23.0,Mar 25,70,24.5,Apr 28,44,18.5,May 29,0,0.0
1976,,,,Jan 29,42,13.0,Feb 26,65,18.2,Mar 31,57,20.8,Apr 29,28,11.0,May 28,0,0.0
1977,,,,Jan 26,5,1.0,Feb 24,6,2.1,Mar 30,10,4.1,Apr 26,0,0.0,May 27,0,0.0
1978,,,,Jan 31,64,20.2,Feb 28,69,24.8,Mar 29,49,20.7,Apr 28,22,10.2,May 25,0,0.0
1979,,,,Feb 02,31,6.8,Feb 27,56,14.9,Mar 29,35,14.2,Apr 27,14,5.7,,,
1980,,,,Jan 30,47,11.7,Feb 28,52,14.8,Mar 31,47,16.9,May 01,18,7.6,,,
1981,,,,Jan 28,24,6.6,Feb 26,32,10.7,Mar 27,19,7.2,Apr 29,0,0.0,,,
1982,,,,Jan 27,62,16.4,Feb 24,58,20.6,Mar 26,55,22.5,Apr 27,40,17.8,,,
1983,,,,Jan 27,58,15.5,Feb 28,57,19.3,Mar 28,45,18.7,Apr 28,25,10.3,Jun 01,0,0.0
1984,,,,Jan 30,41,11.2,Feb 27,54,15.8,Mar 30,40,13.7,May 01,,5.3,,,
1985,,,,Jan 30,40,11.6,Feb 27,46,14.7,Mar 28,45,14.9,Apr 29,11,4.6,May 30,0,0.0
1986,,,,Jan 29,51,13.9,Feb 28,55,16.7,Mar 30,38,15.3,,,,,,
1987,,,,Feb 08,57,15.3,Feb 27,50,17.0,Mar 28,36,14.6,,,,,,
1988,,,,Jan 25,53,14.9,Feb 25,48,16.6,Mar 28,46,17.0,,,,,,
1989,,,,Feb 01,38,11.6,Mar 03,56,18.0,Apr 01,44,15.9,,,,,,
1990,,,,Mar 01,,12.5,,,,Jul 01,,13.9,,,,,,
1991,,,,,,,May 01,,12.7,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,
1995,,,,Jan 28,66,19.0,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,
2000,,,,Jan 27,47,13.0,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,
