#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21A08: Watson Lakes, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Watson Lakes (21A08) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 4500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:10 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1959,,,,Jan 30,96,36.6,Mar 04,124,44.0,Apr 02,166,68.8,May 05,154,69.8,,,
1960,,,,Jan 31,66,22.6,Feb 27,106,39.0,Apr 03,141,57.4,Apr 27,149,63.6,,,
1961,,,,Jan 28,81,34.8,Mar 03,161,59.8,Mar 29,167,77.2,Apr 28,161,82.1,Jun 01,118,63.3
1962,,,,Jan 28,102,40.6,Feb 27,98,41.0,Mar 29,142,57.8,May 02,133,58.6,Jun 01,95,49.1
1963,,,,Jan 29,68,27.2,Mar 02,78,30.0,Apr 01,94,38.2,Apr 27,95,44.4,,,
1964,,,,Feb 05,149,57.4,Feb 27,150,67.0,Mar 29,211,89.6,May 03,211,102.6,Jun 03,174,88.5
1965,,,,Feb 02,123,46.7,Feb 28,160,64.0,Mar 31,165,69.4,May 01,146,64.8,,,
1966,,,,Feb 01,140,49.0,Mar 02,174,67.9,Mar 29,167,74.4,Apr 28,157,78.2,May 30,121,65.8
1967,,,,Jan 30,124,46.3,Feb 27,175,70.0,Mar 29,230,84.0,Apr 26,208,92.0,Jun 01,158,79.2
1968,,,,Jan 28,72,26.3,Feb 27,88,39.0,Mar 31,153,63.0,May 01,146,63.5,Jun 04,53,27.0
1969,Dec 29,92,23.9,Feb 05,158,54.5,Feb 27,157,65.9,Mar 29,167,73.2,May 03,181,84.8,Jun 02,109,57.8
1970,Jan 02,40,12.0,Jan 30,80,30.4,Mar 03,94,41.4,Apr 02,113,46.0,May 02,137,60.6,,,
1971,Jan 03,116,34.8,,,,Feb 28,184,88.3,Apr 03,246,103.2,Apr 29,222,107.4,,,
1972,Jan 03,134,46.9,Jan 27,180,68.4,Mar 04,216,97.2,Mar 29,214,103.5,May 01,241,114.4,May 31,144,79.2
