#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21A14: S.f. Thunder Creek, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# S.f. Thunder Creek (21A14) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 2200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:06 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1959,,,,Jan 31,6,2.3,Mar 03,10,3.0,Mar 28,4,1.4,Apr 29,0,0.0,,,
1960,,,,Jan 29,4,1.1,Feb 27,9,3.0,Mar 28,2,0.6,Apr 26,0,0.0,,,
1961,,,,Jan 27,0,0.0,Feb 25,13,2.1,Mar 27,0,0.0,Apr 26,0,0.0,,,
1962,,,,Jan 31,0,0.0,Feb 28,2,0.3,Mar 30,5,1.7,May 01,0,0.0,,,
1963,,,,Feb 02,8,2.6,Mar 02,0,0.0,Apr 01,4,0.9,Apr 28,0,0.0,,,
1964,,,,Feb 03,23,8.4,Feb 27,23,8.2,Mar 28,38,15.6,May 01,11,6.1,Jun 03,0,0.0
1965,,,,Feb 02,24,10.1,Feb 28,26,9.9,Mar 30,4,1.9,May 01,0,0.0,,,
1966,,,,Feb 01,38,13.3,Mar 02,18,7.2,Mar 31,20,8.9,Apr 29,0,0.0,May 30,0,0.0
1967,,,,Jan 30,6,2.4,Feb 27,6,2.4,Mar 29,29,10.4,Apr 27,0,0.0,,,
1968,,,,Jan 28,8,2.9,Feb 27,0,0.0,Apr 01,0,0.0,May 01,0,0.0,Jun 04,0,0.0
1969,Dec 29,20,5.2,Feb 05,56,19.3,Feb 27,48,20.2,Mar 29,25,10.9,May 03,0,0.0,,,
1970,Jan 02,3,0.9,Jan 30,8,3.0,Mar 03,0,0.0,Apr 02,0,0.0,Apr 30,0,0.0,Jun 01,0,0.0
1971,Jan 03,33,9.9,Feb 05,47,21.2,Feb 28,46,22.1,Apr 03,44,17.6,Apr 28,22,10.3,,,
1972,Jan 03,40,14.0,Jan 27,60,22.8,Mar 04,94,42.3,Mar 30,20,9.1,May 01,0,0.0,,,
1973,Jan 03,8,3.0,Jan 26,6,3.0,Mar 06,0,0.0,Mar 30,0,0.0,Apr 28,0,0.0,Jun 02,0,0.0
1974,Dec 31,16,6.0,Feb 05,32,13.0,Mar 07,48,18.0,Apr 10,17,7.6,May 03,0,0.0,,,
1975,Dec 31,24,8.0,Jan 27,38,15.0,Feb 24,36,14.0,Mar 30,36,13.9,Apr 30,13,5.7,May 27,0,0.0
1976,Dec 31,6,2.0,Jan 28,30,13.0,Mar 01,62,20.0,Apr 02,44,18.4,Apr 29,15,8.0,Jun 04,0,0.0
1977,Dec 28,0,0.0,Jan 28,0,0.0,,,,Mar 28,9,3.1,Apr 26,0,0.0,Jun 02,0,0.0
1978,Dec 27,16,5.0,Jan 27,0,0.0,Feb 24,0,0.0,Mar 30,0,0.0,Apr 26,0,0.0,,,
1979,,,,Jan 25,16,6.0,Feb 28,30,12.0,,,,Apr 30,0,0.0,May 24,0,0.0
1980,Dec 27,10,3.0,Jan 30,18,6.0,Feb 29,0,0.0,Mar 30,18,6.0,May 01,0,0.0,,,
1981,Jan 02,0,0.0,Feb 02,4,2.0,Mar 03,0,0.0,,,,,,,,,
1982,Dec 29,22,8.0,,,,Feb 28,56,14.0,Apr 04,20,8.0,May 01,1,0.5,,,
1983,Dec 27,11,4.0,Jan 29,0,0.0,,,,Apr 04,0,0.0,Apr 29,0,0.0,May 27,0,0.0
1984,Dec 29,18,3.0,Jan 30,0,0.0,Mar 01,4,2.0,Mar 29,0,0.0,Apr 30,0,0.0,,,
1985,Jan 02,12,4.0,Feb 01,10,4.0,Feb 27,29,13.0,Apr 06,0,0.0,Apr 30,0,0.0,May 31,0,0.0
1986,Dec 30,8,2.4,Feb 06,0,0.0,Feb 27,0,0.0,Mar 31,0,0.0,Sep 01,,0.0,,,
1987,,,,Feb 06,0,0.0,Feb 23,0,0.0,Mar 30,0,0.0,Apr 30,0,0.0,,,
1988,Jan 06,9,2.9,Feb 01,4,1.4,,,,,,,Apr 26,0,0.0,Jun 09,0,0.0
1989,,,,Feb 05,8,3.3,,,,Apr 09,0,0.0,May 04,0,0.0,Jun 01,0,0.0
1990,,,,,,,Feb 28,30,5.0,Mar 28,6,2.0,May 04,0,0.0,,,
1991,Jan 02,30,10.0,Feb 08,8,0.4,May 01,,10.3,,,,Sep 01,,1.3,,,
1992,,,,,,,Feb 25,0,0.0,Mar 25,0,0.0,,,,,,
1993,,,,Feb 01,24,9.2,Feb 24,18,6.5,Mar 25,0,0.0,May 05,0,0.0,,,
1994,Dec 27,0,0.0,Feb 01,0,0.0,Mar 07,6,2.2,Mar 30,0,0.0,,,,,,
1995,Dec 29,18,6.8,Feb 05,0,0.0,Feb 28,0,0.0,Mar 27,,0.0,May 04,0,0.0,Jun 01,0,0.0
1996,Jan 05,5,1.6,Jan 30,20,7.0,Feb 29,4,1.5,Mar 28,0,0.0,,,,,,
1997,,,,Feb 01,,9.3,Feb 24,36,14.0,Mar 21,36,13.0,May 07,0,0.0,,,
1998,,,,Jan 30,10,6.0,,,,,,,,,,,,
1999,Jan 01,12,5.3,Mar 01,,8.7,,,,,,,,,,Jun 03,0,0.0
2000,Jan 01,,3.6,Mar 01,,7.3,,,,,,,Sep 01,0,0.0,,,
2001,Dec 29,0,0.0,Feb 02,18,4.5,Feb 27,18,6.3,,,,,,,,,
2002,Jan 01,,5.5,Mar 01,,8.2,,,,,,,,,,,,
2003,Jan 01,,2.0,Mar 01,,2.5,,,,,,,,,,,,
2004,Jan 01,,4.0,Mar 01,,7.5,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,
