#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21A28: Brown Top Ridge AM, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brown Top Ridge Am (21A28) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 6000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:08 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1970,,,,Jan 29,114,29.6,Feb 24,115,40.2,,,,Apr 28,144,57.6,,,
1971,,,,Feb 05,156,60.2,Mar 01,167,68.4,Apr 03,214,84.6,Apr 27,196,91.0,,,
1972,,,,Jan 28,181,61.0,Mar 07,241,93.6,Mar 28,213,97.2,Apr 27,227,104.4,,,
1973,,,,Jan 28,116,38.6,Feb 24,109,43.2,Mar 29,126,50.0,Apr 26,111,47.8,,,
1974,,,,Feb 05,210,74.4,Mar 06,222,90.6,Apr 10,223,90.2,May 01,213,98.0,,,
1975,,,,Jan 27,132,46.2,Feb 25,162,59.0,Mar 27,182,71.8,Apr 28,161,71.2,,,
1976,,,,Jan 26,162,60.8,Mar 01,215,78.5,Apr 03,214,95.0,Apr 25,206,96.6,,,
1977,,,,Jan 26,41,13.6,Feb 23,53,16.0,Mar 27,105,30.4,Apr 25,74,31.0,,,
1978,,,,Jan 27,113,43.6,Feb 24,122,50.0,Mar 28,130,55.0,Apr 25,109,50.9,,,
1979,,,,Jan 29,69,21.1,Feb 27,122,34.4,Mar 31,103,35.6,Apr 27,101,43.4,,,
1980,,,,Jan 29,102,34.0,Feb 26,115,42.8,Mar 27,130,47.2,Apr 28,112,50.2,,,
1981,,,,Jan 28,73,26.6,Feb 27,113,28.0,Mar 28,101,39.0,Apr 29,114,46.8,,,
1982,,,,Jan 27,147,46.5,Feb 23,172,58.2,Mar 27,166,65.6,Apr 26,160,66.8,,,
1983,,,,Jan 28,130,39.2,Feb 26,140,50.6,Mar 28,142,53.2,Apr 27,136,50.4,May 26,98,45.0
1984,,,,Jan 29,111,34.6,Feb 28,129,44.4,Mar 29,124,46.8,Apr 26,131,53.2,,,
