#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21B10: Stampede Pass Disc, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Stampede Pass Disc (21B10) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 3860 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:17 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1945,Dec 19,36,9.5,Feb 01,28,10.1,Mar 01,57,22.4,Apr 01,82,34.6,May 01,63,32.1,,,
1946,Jan 01,64,22.6,,,,Feb 26,123,49.6,Mar 31,134,63.9,Apr 30,107,55.3,May 30,13,7.9
1947,Jan 01,56,20.2,Feb 03,97,35.1,Feb 25,76,35.8,Apr 01,68,34.3,Apr 29,30,15.8,,,
1948,Dec 26,39,13.0,Jan 30,78,31.3,Mar 02,116,46.1,Apr 02,117,53.6,Apr 30,104,51.9,Jun 01,23,12.2
1949,Jan 04,131,53.2,Jan 29,105,48.6,Mar 04,142,73.0,Apr 01,143,73.4,May 02,106,56.2,Jun 01,20,12.2
1950,Dec 30,75,26.6,Feb 02,111,62.0,Mar 04,130,54.8,Mar 30,148,66.4,Apr 27,144,72.2,Jun 02,66,39.4
1951,Jan 01,42,15.0,Jan 26,93,34.8,Feb 26,107,40.8,Mar 25,114,51.2,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,Feb 01,78,33.0,Mar 01,93,40.0,Apr 01,93,40.4,May 01,69,35.5,,,
1954,Jan 01,60,24.8,Feb 01,132,47.0,Mar 01,146,62.6,Apr 01,145,65.2,May 01,130,65.4,May 31,59,31.6
1955,Jan 01,56,14.9,Feb 01,73,22.8,Mar 01,120,38.8,Apr 01,158,60.1,May 03,137,66.2,May 31,95,47.4
1956,Jan 01,92,30.7,Feb 03,134,52.0,Feb 28,185,60.0,Mar 30,184,89.3,May 01,127,70.7,May 31,42,24.0
1957,Jan 01,26,10.2,Feb 01,66,19.3,Mar 05,89,34.2,Apr 02,108,48.0,May 03,64,33.2,May 31,0,0.0
