#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21B14: Dommerie Flats, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Dommerie Flats (21B14) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 2200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:19 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1939,,,,,,,Mar 06,26,9.8,Mar 31,6,2.9,May 01,0,0.0,,,
1940,Dec 31,7,1.0,Jan 31,15,4.2,Feb 29,3,1.5,Apr 01,0,0.0,,,,,,
1941,,,,Jan 31,19,5.5,Feb 28,13,5.0,Mar 28,0,0.0,,,,,,
1942,Dec 29,14,3.0,Jan 30,18,6.2,Feb 28,18,7.2,Apr 01,0,0.0,,,,,,
1943,Jan 01,32,8.7,Jan 30,44,12.6,Feb 27,41,15.2,Mar 31,28,12.7,,,,,,
1944,Jan 03,11,2.0,Jan 31,11,4.2,Feb 29,17,5.6,Mar 31,0,0.0,,,,,,
1945,Jan 01,0,0.0,Feb 01,0,0.0,Feb 28,10,3.2,Mar 31,0,0.0,Apr 30,0,0.0,,,
1946,Dec 31,20,6.7,Jan 31,46,12.5,Feb 28,47,15.9,Mar 31,26,10.6,Apr 30,0,0.0,,,
1947,Dec 31,0,0.0,Jan 31,27,6.9,Feb 28,13,7.1,Mar 31,0,0.0,May 01,0,0.0,,,
1948,Jan 01,0,0.0,Jan 30,14,4.7,Feb 28,24,8.5,Mar 31,15,6.3,Apr 30,0,0.0,,,
1949,Dec 31,54,14.1,Jan 31,48,14.9,Feb 28,64,21.5,Mar 31,44,19.7,,,,,,
1950,Jan 03,18,5.2,Jan 31,51,12.8,Feb 28,48,17.9,Mar 31,38,16.9,Apr 29,6,2.5,,,
1951,Dec 29,9,3.0,Jan 31,36,12.2,Feb 28,38,15.0,Mar 30,36,15.4,,,,,,
1952,Dec 31,36,7.7,Jan 31,36,10.6,Feb 29,33,12.1,Mar 31,9,3.6,,,,,,
