#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21B17: Rex River (Disc), WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rex River (disc) (21B17) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 2400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:15 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1954,,,,,,,Mar 02,66,26.9,Apr 02,71,32.7,,,,,,
1955,,,,,,,Mar 02,84,21.3,Apr 02,88,34.4,,,,,,
1956,,,,,,,,,,Mar 30,111,52.4,,,,,,
1957,,,,,,,,,,Mar 29,51,25.7,,,,,,
1958,,,,,,,Feb 26,0,0.0,Mar 27,0,0.0,,,,,,
1959,,,,,,,Mar 02,0,0.0,Mar 30,0,0.0,,,,,,
1960,,,,,,,Feb 28,22,8.7,Mar 31,40,18.6,,,,,,
1961,,,,,,,Mar 01,29,7.6,Mar 31,20,9.0,,,,,,
1962,,,,,,,Feb 28,10,1.0,Mar 28,24,9.4,,,,,,
1963,,,,,,,Feb 26,0,0.0,Apr 04,8,3.0,,,,,,
1964,,,,,,,Feb 26,64,24.7,Apr 06,81,36.9,,,,,,
1965,,,,,,,,,,,,,,,,,,
1966,,,,,,,Mar 01,71,21.4,Mar 28,58,26.9,,,,,,
1967,,,,,,,Feb 24,22,7.7,Mar 30,44,14.7,,,,,,
1968,,,,,,,Feb 27,0,0.0,Mar 27,0,0.0,,,,,,
1969,,,,,,,Feb 24,41,16.2,Mar 31,35,18.8,,,,,,
1970,,,,,,,Feb 26,0,0.0,Mar 27,0,0.0,,,,,,
1971,,,,,,,Feb 27,19,2.8,Mar 28,45,15.7,,,,,,
1972,,,,,,,Feb 25,74,29.1,Mar 29,60,28.5,,,,,,
1973,,,,,,,Feb 26,16,6.0,Mar 29,14,4.8,,,,,,
1974,,,,,,,Feb 26,80,28.6,Mar 29,75,33.2,,,,,,
1975,,,,,,,Feb 28,56,22.8,Mar 31,72,28.4,,,,,,
1976,,,,,,,Mar 01,69,17.6,Mar 30,74,29.4,,,,,,
1977,,,,Jan 27,0,0.0,Feb 28,2,0.6,Mar 29,28,9.4,,,,,,
1978,,,,,,,Feb 24,0,0.0,Mar 27,0,0.0,,,,,,
1979,,,,,,,Feb 28,57,17.5,Mar 29,34,12.1,,,,,,
1980,,,,,,,Feb 27,23,8.6,Mar 27,34,12.2,,,,,,
1981,,,,,,,Feb 24,0,0.0,Mar 27,0,0.0,,,,,,
1982,,,,,,,,,,,,,,,,,,
