#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21B19: Lake Elizabeth (Disc), WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lake Elizabeth (disc) (21B19) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 2900 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:23 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1958,,,,,,,,,,Apr 01,82,37.1,,,,,,
1959,,,,,,,Mar 03,76,26.8,Apr 03,94,40.7,,,,,,
1960,,,,,,,Mar 02,61,23.8,Apr 02,83,38.8,,,,,,
1961,,,,,,,Mar 04,81,25.6,Apr 04,65,30.1,,,,,,
1962,,,,,,,Feb 25,86,32.0,Mar 27,122,47.3,,,,,,
1963,,,,,,,Feb 25,0,0.0,Apr 01,50,14.4,,,,,,
1964,,,,,,,Feb 27,116,46.1,Apr 05,175,71.4,,,,,,
1965,,,,,,,Feb 28,121,47.7,Mar 29,129,54.1,,,,,,
1966,,,,,,,Mar 01,141,47.1,Mar 28,136,61.6,,,,,,
1967,,,,,,,Feb 28,93,39.2,Mar 31,130,53.3,,,,,,
1968,,,,,,,Feb 28,34,15.0,Mar 28,44,18.4,,,,,,
1969,,,,,,,Feb 26,148,61.2,Mar 29,138,66.8,,,,,,
1970,,,,,,,Feb 25,91,37.5,Mar 30,85,38.6,,,,,,
1971,,,,,,,Feb 25,138,57.6,Mar 29,178,82.5,,,,,,
1972,,,,,,,Feb 26,164,60.6,Mar 27,147,71.2,,,,,,
1973,,,,,,,Feb 28,33,12.8,Mar 28,53,19.7,,,,,,
1974,,,,,,,Feb 27,172,65.7,Mar 26,165,82.8,,,,,,
1975,,,,,,,Feb 26,95,36.6,Mar 26,130,47.6,,,,,,
1976,,,,,,,Mar 03,112,35.7,Mar 30,153,55.6,,,,,,
1977,,,,Jan 27,0,0.0,Feb 25,16,2.6,Mar 30,66,23.2,,,,,,
1978,,,,,,,Feb 28,59,21.0,Mar 29,40,19.3,,,,,,
1979,,,,,,,Mar 01,114,40.1,Mar 27,85,37.9,,,,,,
1980,,,,,,,,,,Mar 28,92,36.1,,,,,,
1981,,,,,,,Feb 24,5,1.7,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,
