#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21B20: Tinkham Creek (Disc), WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Tinkham Creek (disc) (21B20) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 3400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1959,,,,,,,Mar 03,35,9.4,Mar 28,41,13.6,,,,,,
1960,,,,,,,Feb 27,41,13.6,Mar 30,50,18.1,,,,,,
1961,,,,,,,Feb 28,51,12.9,Mar 30,29,12.1,,,,,,
1962,,,,,,,Feb 27,24,8.9,Mar 29,37,13.4,,,,,,
1963,,,,,,,Feb 26,0,0.0,Apr 03,18,3.9,,,,,,
1964,,,,,,,Feb 25,87,33.6,Apr 03,108,46.0,,,,,,
1965,,,,,,,Feb 25,78,30.1,Mar 29,75,28.9,,,,,,
1966,,,,,,,Feb 25,70,26.1,Mar 28,81,35.0,,,,,,
1967,,,,,,,Feb 24,38,12.9,Mar 29,56,18.7,,,,,,
1968,,,,,,,Feb 26,16,6.1,Mar 27,4,1.4,,,,,,
1969,,,,,,,Feb 25,101,38.6,Mar 31,88,40.4,,,,,,
1970,,,,,,,Feb 26,56,22.8,Mar 27,50,22.8,,,,,,
1971,,,,,,,Feb 24,73,31.3,Mar 28,123,46.7,,,,,,
1972,,,,,,,Feb 25,96,38.1,Mar 28,82,36.9,,,,,,
1973,,,,,,,Feb 27,20,6.7,Mar 27,21,6.5,,,,,,
1974,,,,,,,Feb 27,121,41.8,Mar 27,102,48.7,,,,,,
1975,,,,,,,Feb 25,83,34.3,Mar 28,99,40.0,,,,,,
1976,,,,,,,Mar 01,74,20.5,Mar 30,87,31.6,,,,,,
1977,,,,Jan 27,0,0.0,Feb 24,4,0.8,Mar 28,42,11.2,,,,,,
1978,,,,,,,Feb 27,24,7.7,Mar 27,11,4.7,,,,,,
1979,,,,,,,Mar 01,59,18.9,Mar 29,33,12.7,,,,,,
1980,,,,,,,Feb 25,43,16.6,Mar 26,47,18.9,,,,,,
1981,,,,,,,Feb 24,0,0.0,Mar 27,0,0.0,,,,,,
1982,,,,,,,,,,,,,,,,,,
