#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21B46: Joe Lake Am (Disc), WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Joe Lake Am (disc) (21B46) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 4624 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:22 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1969,,,,Jan 23,165,41.2,Feb 27,183,70.5,Mar 25,183,84.2,,,,,,
1970,,,,Jan 29,153,45.9,Feb 24,147,55.9,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,
1972,,,,Jan 27,219,70.0,,,,,,,,,,May 30,204,120.4
1973,,,,Jan 23,72,18.0,Feb 22,75,27.8,Mar 28,106,42.4,Apr 25,75,33.8,,,
1974,,,,,,,Feb 27,225,81.0,Mar 25,230,98.9,,,,,,
1975,,,,Jan 27,150,45.0,Feb 24,189,58.6,Mar 24,217,86.8,Apr 29,216,99.4,,,
1976,,,,Jan 23,147,58.8,Mar 01,225,63.0,,,,Apr 27,219,94.6,,,
1977,,,,Jan 27,36,13.4,Feb 24,60,18.0,Mar 29,141,40.9,Apr 26,93,40.0,,,
1978,,,,Jan 23,123,49.2,,,,Mar 29,123,51.7,Apr 29,130,62.4,,,
1979,,,,Feb 01,96,35.5,Feb 19,156,53.0,,,,Apr 23,153,70.4,,,
1980,,,,Jan 27,99,27.9,Feb 21,114,37.4,Mar 25,153,55.4,Apr 30,117,56.2,,,
1981,,,,Feb 01,27,8.4,Feb 28,73,25.9,,,,Apr 30,87,39.2,,,
1982,,,,,,,Feb 26,177,76.1,Mar 24,174,88.6,Apr 30,180,93.6,,,
1983,,,,,,,,,,,,,,,,,,
