#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21C03: Longmire (Disc), WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Longmire (disc) (21C03) 
# Washington  SNOW COURSE/AERIAL MARKER Site - 2760 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:03 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1950,,,,,,,,,,Mar 28,62,25.3,,,,,,
1951,,,,,,,,,,Apr 01,43,15.5,,,,,,
1952,,,,,,,,,,Mar 29,28,10.5,,,,,,
1953,,,,,,,,,,Mar 31,0,0.0,Apr 30,0,0.0,,,
1954,,,,,,,,,,Apr 01,42,17.4,Apr 30,0,0.0,,,
1955,,,,,,,,,,Apr 01,52,20.0,May 02,43,17.7,,,
1956,,,,,,,,,,Mar 29,56,23.0,Apr 29,23,9.7,,,
1957,,,,Feb 03,39,8.5,Feb 28,28,10.3,Mar 29,26,10.2,,,,,,
1958,,,,Jan 31,18,5.0,Feb 27,0,0.0,Mar 28,0,0.0,,,,,,
1959,,,,Feb 02,0,0.0,Feb 27,5,1.7,Mar 30,6,2.0,,,,,,
1960,,,,Jan 28,10,3.2,Mar 01,8,2.8,Mar 30,12,4.3,,,,,,
1961,,,,Jan 29,0,0.0,Mar 01,14,3.0,Mar 28,10,3.7,,,,,,
1962,,,,Jan 30,16,6.8,Feb 26,8,2.3,Mar 31,17,7.2,,,,,,
1963,,,,Jan 29,3,0.7,Feb 26,0,0.0,Apr 01,10,2.2,,,,,,
1964,,,,Jan 28,44,12.3,Feb 25,44,15.5,Mar 27,66,23.8,,,,,,
1965,,,,Feb 02,37,13.8,Feb 24,47,16.5,Mar 27,38,14.7,,,,,,
1966,Dec 29,15,2.0,Jan 28,28,8.8,Feb 25,32,12.8,Mar 28,42,16.2,,,,,,
1967,Dec 27,2,0.2,Jan 30,25,8.6,Feb 27,37,13.2,Mar 24,40,14.2,,,,,,
1968,Jan 02,1,0.3,Jan 31,21,3.0,Feb 27,0,0.0,Mar 29,0,0.0,,,,,,
